assurance_key,official_program_key,official_program_name,official_program_type,official_department,coverage_status,captured_people_count,matched_program_key,matched_program_name,match_method,match_confidence,resolution_source_count,resolution_record_count,resolution_review_record_count,alias_review_count,alias_review_person_count,assurance_status,assurance_level,denominator_evidence_status,coverage_mutation_allowed,recommended_next_action,evidence_json,audited_at
official_program_coverage_assurance_16ab18284a3375ee24fc,hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e,Adult Cardiothoracic Anesthesiology,fellowship,Anesthesiology,discovered_no_current_roster,0,,,source_discovery,0.55,0,0,0,0,0,discovered_source_without_current_roster,1,program_page_discovered_no_roster_people,0,Improve parser or locate a public current roster source.,"{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""discovery_classification"": ""alumni_or_outcome_candidate"", ""discovery_title"": ""Department of Anesthesiology and Critical Care | Fellowships"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program discovered as a page but no current roster people captured."", ""official_program_key"": ""hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e""}, ""official_program"": {""department"": ""Anesthesiology"", ""official_program_key"": ""hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e"", ""program_name"": ""Adult Cardiothoracic Anesthesiology"", ""program_type"": ""fellowship"", ""program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_c994cf297ea2163a50cf,hup_gme_fellowship_critical-care-medicine_a51acc5c27ee,Critical Care Medicine,fellowship,Anesthesiology,discovered_no_current_roster,0,,,source_discovery,0.55,0,0,0,0,0,discovered_source_without_current_roster,1,program_page_discovered_no_roster_people,0,Improve parser or locate a public current roster source.,"{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""discovery_classification"": ""alumni_or_outcome_candidate"", ""discovery_title"": ""Department of Anesthesiology and Critical Care | Fellowships"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program discovered as a page but no current roster people captured."", ""official_program_key"": ""hup_gme_fellowship_critical-care-medicine_a51acc5c27ee""}, ""official_program"": {""department"": ""Anesthesiology"", ""official_program_key"": ""hup_gme_fellowship_critical-care-medicine_a51acc5c27ee"", ""program_name"": ""Critical Care Medicine"", ""program_type"": ""fellowship"", ""program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_3818a57c34d2a9ca6f13,hup_gme_fellowship_pain-medicine_384642e8f0d1,Pain Medicine,fellowship,Anesthesiology,discovered_no_current_roster,0,,,source_discovery,0.55,0,0,0,0,0,discovered_source_without_current_roster,1,program_page_discovered_no_roster_people,0,Improve parser or locate a public current roster source.,"{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""discovery_classification"": ""alumni_or_outcome_candidate"", ""discovery_title"": ""Department of Anesthesiology and Critical Care | Fellowships"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program discovered as a page but no current roster people captured."", ""official_program_key"": ""hup_gme_fellowship_pain-medicine_384642e8f0d1""}, ""official_program"": {""department"": ""Anesthesiology"", ""official_program_key"": ""hup_gme_fellowship_pain-medicine_384642e8f0d1"", ""program_name"": ""Pain Medicine"", ""program_type"": ""fellowship"", ""program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_20002a01b348909910ea,hup_gme_residency_anesthesiology_594ed9d7c592,Anesthesiology,residency,Anesthesiology,covered_current_roster,97,program_resident-anesthesiology-residency_e906460561a3,Anesthesiology Residency,normalized_name,0.95,1,97,0,0,0,exact_resolution_backed_current_roster,4,exact_program_resolution_supports_current_roster_count,0,Retain coverage claim; reviewer can attach exact resolution evidence to denominator record.,"{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 97, ""coverage_status"": ""covered_current_roster"", ""discovery_classification"": ""alumni_or_outcome_candidate"", ""discovery_title"": ""Anesthesiology and Critical Care Residency and Fellowships"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training"", ""match_confidence"": 0.95, ""match_method"": ""normalized_name"", ""matched_program_key"": ""program_resident-anesthesiology-residency_e906460561a3"", ""matched_program_name"": ""Anesthesiology Residency"", ""notes"": ""Official HUP GME program with current roster capture."", ""official_program_key"": ""hup_gme_residency_anesthesiology_594ed9d7c592""}, ""official_program"": {""department"": ""Anesthesiology"", ""official_program_key"": ""hup_gme_residency_anesthesiology_594ed9d7c592"", ""program_name"": ""Anesthesiology"", ""program_type"": ""residency"", ""program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": [{""audited_at"": ""2026-06-02T20:14:57.169004+00:00"", ""denominator_mutation_allowed"": 1, ""evidence_json"": ""{\""source_reconciliation_row\"": {\""audited_at\"": \""2026-06-02T20:14:57.125915+00:00\"", \""candidate_key\"": \""seed_roster_candidate_25\"", \""denominator_link_confidence\"": 0.58, \""denominator_link_status\"": \""records_extracted_seed_without_denominator_key\"", \""effective_url\"": \""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents\"", \""evidence_json\"": \""{\\\""coverage_row\\\"": {}, \\\""gap_reason_row\\\"": {}, \\\""gap_roster_source\\\"": {\\\""candidate_confidence\\\"": 0.75, \\\""candidate_key\\\"": \\\""seed_roster_candidate_25\\\"", \\\""candidate_priority\\\"": 150, \\\""candidate_title\\\"": \\\""Residents\\\"", \\\""department\\\"": \\\""Anesthesiology\\\"", \\\""effective_url\\\"": \\\""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents\\\"", \\\""extraction_status\\\"": \\\""records_extracted\\\"", \\\""extractors_used\\\"": [\\\""bio_component\\\""], \\\""fetched_at\\\"": \\\""2026-06-02T20:14:03.810100+00:00\\\"", \\\""http_status\\\"": 200, \\\""official_program_key\\\"": \\\""\\\"", \\\""program_name\\\"": \\\""Anesthesiology\\\"", \\\""records_extracted\\\"": 97, \\\""sha256\\\"": \\\""d54099e1a950536e0804957b0a448d08a300e5289da958ca0b45fd55f2a9b36f\\\"", \\\""source_key\\\"": \\\""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93\\\"", \\\""source_type\\\"": \\\""official_gap_roster\\\"", \\\""url\\\"": \\\""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents\\\""}, \\\""matched_source_candidate\\\"": {}, \\\""official_program\\\"": {}}\"", \""extraction_status\"": \""records_extracted\"", \""gap_reason_status\"": \""\"", \""loaded_membership_count\"": 97, \""loaded_person_count\"": 97, \""official_coverage_status\"": \""\"", \""official_program_key\"": null, \""official_program_name\"": \""\"", \""recommended_next_action\"": \""Review source/program alias and attach an official_program_key before counting denominator coverage.\"", \""reconciliation_key\"": \""official_gap_roster_reconciliation_16e1dd48c53b0d23ac47\"", \""records_extracted\"": 97, \""source_candidate_status\"": \""\"", \""source_department\"": \""Anesthesiology\"", \""source_key\"": \""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93\"", \""source_program_name\"": \""Anesthesiology\"", \""source_url\"": \""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents\""}, \""top_candidate\"": {\""department\"": \""Anesthesiology\"", \""official_program_key\"": \""hup_gme_residency_anesthesiology_594ed9d7c592\"", \""program_name\"": \""Anesthesiology\"", \""program_type\"": \""residency\"", \""program_url\"": \""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program\""}, \""top_candidate_count_for_department_type\"": 1, \""top_three_candidates\"": [{\""confidence\"": 0.99, \""department\"": \""Anesthesiology\"", \""features\"": [\""exact_normalized_program_name\"", \""exact_department_match\"", \""source_role_matches_program_type\"", \""program_url_path_prefix_match\"", \""url_token_overlap_1.00\""], \""official_program_key\"": \""hup_gme_residency_anesthesiology_594ed9d7c592\"", \""program_name\"": \""Anesthesiology\"", \""program_type\"": \""residency\""}, {\""confidence\"": 0.47, \""department\"": \""Anesthesiology\"", \""features\"": [\""contained_normalized_program_name\"", \""exact_department_match\"", \""source_role_program_type_mismatch\"", \""url_token_overlap_1.00\""], \""official_program_key\"": \""hup_gme_fellowship_adult-cardiothoracic-anesthesiology_84bd23c52b1e\"", \""program_name\"": \""Adult Cardiothoracic Anesthesiology\"", \""program_type\"": \""fellowship\""}, {\""confidence\"": 0.15, \""department\"": \""Emergency Medicine\"", \""features\"": [\""source_role_matches_program_type\"", \""url_token_overlap_0.50\""], \""official_program_key\"": \""hup_gme_residency_emergency-medicine_844b6b007cf3\"", \""program_name\"": \""Emergency Medicine\"", \""program_type\"": \""residency\""}]}"", ""inferred_source_role"": ""residency"", ""loaded_person_count"": 97, ""match_features_json"": ""[\""exact_normalized_program_name\"", \""exact_department_match\"", \""source_role_matches_program_type\"", \""program_url_path_prefix_match\"", \""url_token_overlap_1.00\""]"", ""official_department"": ""Anesthesiology"", ""official_program_key"": ""hup_gme_residency_anesthesiology_594ed9d7c592"", ""official_program_name"": ""Anesthesiology"", ""official_program_type"": ""residency"", ""recommended_next_action"": ""Attach this extracted source to the official program key after reviewer confirms the roster is current."", ""reconciliation_key"": ""official_gap_roster_reconciliation_16e1dd48c53b0d23ac47"", ""records_extracted"": 97, ""resolution_confidence"": 0.99, ""resolution_key"": ""official_gap_roster_program_resolution_9bea788b11654b818ad3"", ""resolution_status"": ""accepted_exact_program_resolution_candidate"", ""source_department"": ""Anesthesiology"", ""source_key"": ""penn_gme_gap_departments_and_centers_anesthesiology_and_critical_care_education_and_4122b4df93"", ""source_program_name"": ""Anesthesiology"", ""source_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/residency-program/residents""}]}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_fbabead4ff093babb2d5,hup_gme_fellowship_dermatopathology_0b133cf636fb,Dermatopathology,fellowship,Dermatology,not_discovered,0,,,none,0.2,0,0,0,0,0,not_discovered_by_current_strategy,0,no_public_current_roster_source_discovered,0,"Broaden source discovery with official program URL, department pages, and public search.","{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""not_discovered"", ""discovery_classification"": """", ""discovery_title"": """", ""discovery_url"": """", ""match_confidence"": 0.2, ""match_method"": ""none"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program not yet discovered/captured by current Penn source strategy."", ""official_program_key"": ""hup_gme_fellowship_dermatopathology_0b133cf636fb""}, ""official_program"": {""department"": ""Dermatology"", ""official_program_key"": ""hup_gme_fellowship_dermatopathology_0b133cf636fb"", ""program_name"": ""Dermatopathology"", ""program_type"": ""fellowship"", ""program_url"": ""https://dermatology.upenn.edu/education/fellowship-training/dermatopathology/""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_3d1904004a626c10921a,hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,Micrographic Surgery and Dermatologic Oncology,fellowship,Dermatology,not_discovered,0,,,none,0.2,0,0,0,0,0,not_discovered_by_current_strategy,0,no_public_current_roster_source_discovered,0,"Broaden source discovery with official program URL, department pages, and public search.","{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""not_discovered"", ""discovery_classification"": """", ""discovery_title"": """", ""discovery_url"": """", ""match_confidence"": 0.2, ""match_method"": ""none"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program not yet discovered/captured by current Penn source strategy."", ""official_program_key"": ""hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d""}, ""official_program"": {""department"": ""Dermatology"", ""official_program_key"": ""hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d"", ""program_name"": ""Micrographic Surgery and Dermatologic Oncology"", ""program_type"": ""fellowship"", ""program_url"": ""https://dermatology.upenn.edu/education/fellowship-training/micrographic-oncology-fellowship/""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_ec2924a6d25075a22f45,hup_gme_residency_dermatology_cabc25fcd11c,Dermatology,residency,Dermatology,discovered_no_current_roster,0,,,source_discovery,0.55,0,0,0,1,3,open_gap_with_alias_review,1,related_loaded_people_but_alias_unaccepted,0,Review related loaded program labels before mutating denominator coverage.,"{""alias_review_rows"": [{""audited_at"": ""2026-06-02T07:48:56.942181+00:00"", ""coverage_mutation_allowed"": 0, ""evidence_json"": ""{\""loaded_membership\"": {\""labels\"": [\""PGY 3\"", \""PGY 4\""], \""people\"": [\""MD\"", \""Savannah Alvarado\"", \""Stephanie Cho MD\"", \""Thomas Vazquez MD\""], \""person_count\"": 3, \""program_name\"": \""Combined Internal Medicine-Dermatology Residency\"", \""role\"": \""resident\""}, \""official\"": {\""program_name\"": \""Dermatology\"", \""program_type\"": \""residency\"", \""top_candidate_title\"": \""Penn Medicine Dermatology site\"", \""top_candidate_url\"": \""https://dermatology.upenn.edu/residents/combined-medicine-and-dermatology-track\""}, \""related_source\"": {\""candidate_status\"": \""roster_source_candidate\"", \""candidate_url\"": \""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program/medicine-dermatology-residents\"", \""person_count\"": 3, \""programs\"": [\""Combined Internal Medicine-Dermatology Residency\""], \""roles\"": [\""resident\""]}, \""token_overlap\"": [\""dermatology\""]}"", ""loaded_person_count"": 3, ""loaded_program_name"": ""Combined Internal Medicine-Dermatology Residency"", ""loaded_role"": ""resident"", ""loaded_source_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program/medicine-dermatology-residents"", ""loaded_training_labels"": ""PGY 3; PGY 4"", ""official_department"": ""Dermatology"", ""official_program_key"": ""hup_gme_residency_dermatology_cabc25fcd11c"", ""official_program_name"": ""Dermatology"", ""official_program_type"": ""residency"", ""rationale"": ""Loaded source covers the combined Internal Medicine-Dermatology track, not necessarily categorical Dermatology residency."", ""reconciliation_key"": ""program_alias_reconciliation_4d01bd4becb83a4d"", ""relation_confidence"": 0.74, ""relation_status"": ""combined_track_not_categorical_coverage"", ""suggested_mapping_action"": ""do_not_mark_categorical_dermatology_covered_without_dermatology_roster""}], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""discovery_classification"": ""context"", ""discovery_title"": ""Combined Internal Medicine Dermatology Program - Penn Medicine"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program discovered as a page but no current roster people captured."", ""official_program_key"": ""hup_gme_residency_dermatology_cabc25fcd11c""}, ""official_program"": {""department"": ""Dermatology"", ""official_program_key"": ""hup_gme_residency_dermatology_cabc25fcd11c"", ""program_name"": ""Dermatology"", ""program_type"": ""residency"", ""program_url"": """"}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_1134d68f89b58e30b44e,hup_gme_fellowship_undersea-and-hyperbaric-medicine_141573b3b9af,Undersea and Hyperbaric Medicine,fellowship,Emergency Medicine,discovered_no_current_roster,0,,,source_discovery,0.55,0,0,0,0,0,discovered_source_without_current_roster,1,program_page_discovered_no_roster_people,0,Improve parser or locate a public current roster source.,"{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""discovery_classification"": ""program_context"", ""discovery_title"": ""Hyperbaric Medicine - Penn Medicine"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/fellowship-program/hyperbaric-medicine"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program discovered as a page but no current roster people captured."", ""official_program_key"": ""hup_gme_fellowship_undersea-and-hyperbaric-medicine_141573b3b9af""}, ""official_program"": {""department"": ""Emergency Medicine"", ""official_program_key"": ""hup_gme_fellowship_undersea-and-hyperbaric-medicine_141573b3b9af"", ""program_name"": ""Undersea and Hyperbaric Medicine"", ""program_type"": ""fellowship"", ""program_url"": ""https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training/fellowship-program/hyperbaric-medicine""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_73531bec38b31c804652,hup_gme_residency_emergency-medicine_844b6b007cf3,Emergency Medicine,residency,Emergency Medicine,discovered_no_current_roster,0,,,source_discovery,0.55,0,0,0,0,0,discovered_source_without_current_roster,1,program_page_discovered_no_roster_people,0,Improve parser or locate a public current roster source.,"{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""discovered_no_current_roster"", ""discovery_classification"": ""program_context"", ""discovery_title"": ""Emergency Medicine: Education and Training | Penn Medicine"", ""discovery_url"": ""https://www3.pennmedicine.org/departments-and-centers/emergency-medicine/education-and-training"", ""match_confidence"": 0.55, ""match_method"": ""source_discovery"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program discovered as a page but no current roster people captured."", ""official_program_key"": ""hup_gme_residency_emergency-medicine_844b6b007cf3""}, ""official_program"": {""department"": ""Emergency Medicine"", ""official_program_key"": ""hup_gme_residency_emergency-medicine_844b6b007cf3"", ""program_name"": ""Emergency Medicine"", ""program_type"": ""residency"", ""program_url"": ""https://www3.pennmedicine.org/departments-and-centers/emergency-medicine""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
official_program_coverage_assurance_74cacaced6924258cb10,hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885,Occupational and Environmental Medicine (Preventative Medicine),residency,Emergency Medicine,not_discovered,0,,,none,0.2,0,0,0,0,0,not_discovered_by_current_strategy,0,no_public_current_roster_source_discovered,0,"Broaden source discovery with official program URL, department pages, and public search.","{""alias_review_rows"": [], ""coverage_row"": {""audited_at"": ""2026-06-02T22:02:14.473659+00:00"", ""captured_people_count"": 0, ""coverage_status"": ""not_discovered"", ""discovery_classification"": """", ""discovery_title"": """", ""discovery_url"": """", ""match_confidence"": 0.2, ""match_method"": ""none"", ""matched_program_key"": null, ""matched_program_name"": """", ""notes"": ""Official HUP GME program not yet discovered/captured by current Penn source strategy."", ""official_program_key"": ""hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885""}, ""official_program"": {""department"": ""Emergency Medicine"", ""official_program_key"": ""hup_gme_residency_occupational-and-environmental-medicine-preventa_810241037885"", ""program_name"": ""Occupational and Environmental Medicine (Preventative Medicine)"", ""program_type"": ""residency"", ""program_url"": ""https://www.med.upenn.edu/oem/residency.shtml""}, ""policy"": {""coverage_mutation"": ""This audit does not mutate official_program_coverage_audit; it classifies assurance for downstream review."", ""level_0_or_1"": ""Open gap or discovered page without accepted current roster evidence."", ""level_3"": ""Useful alias-method coverage requiring review before denominator-closed truth."", ""level_4"": ""Direct normalized-name coverage or exact program-resolution coverage.""}, ""program_resolution_rows"": []}",2026-06-02T22:02:46.696987+00:00
