identifier_key,official_program_key,identifier_type,identifier_value,identifier_source,source_url,acceptance_status,confidence,accepted_from_candidate_key,accepted_at,evidence_json
official_program_identifier_hup-gme-fellowship-clinical-cardiac-electrophysi_8b3ab3c8faa1b589,hup_gme_fellowship_clinical-cardiac-electrophysiology_34e302d05ade,acgme_program_code,1544122065,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1544122065,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-clinical-cardiac-electrophysi_31ff26d2eebd618c,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""2554"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/electrophysiology-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Clinical cardiac electrophysiology""}"
official_program_identifier_hup-gme-fellowship-colon-and-rectal-surgery-5967_f00d0cf475750fe7,hup_gme_fellowship_colon-and-rectal-surgery_5967769408ef,acgme_program_code,0604133054,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0604133054,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-colon-and-rectal-surgery-5967_13d5ddc9b441761f,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""8804"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/colon-and-rectal-surgery-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Colon and rectal surgery""}"
official_program_identifier_hup-gme-fellowship-complex-family-planning-27618_d86d7508d988cb59,hup_gme_fellowship_complex-family-planning_27618361aaf7,acgme_program_code,2364122002,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2364122002,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-complex-family-planning-27618_59d677f4c9af4a0d,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""47656"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/family-planning""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Complex family planning""}"
official_program_identifier_hup-gme-fellowship-craniofacial-surgery-9144af8e_eb495c91588e08ff,hup_gme_fellowship_craniofacial-surgery_9144af8e134d,acgme_program_code,3614136009,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3614136009,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-craniofacial-surgery-9144af8e_e0478f5f80897df9,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""10983"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/craniofacial-surgery-fellowship""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Craniofacial surgery""}"
official_program_identifier_hup-gme-fellowship-critical-care-medicine-a51acc_50b13d88a0051294,hup_gme_fellowship_critical-care-medicine_a51acc5c27ee,acgme_program_code,0454121005,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0454121005,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-critical-care-medicine-a51acc_9bbe6f02a980dd7d,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""711"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Critical care medicine (Anesthesiology)""}"
official_program_identifier_hup-gme-fellowship-cytopathology-c3e8c941b7d0-ac_e199c6d685f20615,hup_gme_fellowship_cytopathology_c3e8c941b7d0,acgme_program_code,3074121004,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3074121004,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-cytopathology-c3e8c941b7d0-ac_f6385069d50c7d79,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""4638"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/cytopathology""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Cytopathology""}"
official_program_identifier_hup-gme-residency-dermatology-cabc25fcd11c-acgme_86b5a7f657bf7062,hup_gme_residency_dermatology_cabc25fcd11c,acgme_program_code,0804121080,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0804121080,accepted,0.91,program_identifier_candidate_hup-gme-residency-dermatology-cabc25fcd11c-acgme_fe2073f2f287b992,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""627"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": """"}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Dermatology""}"
official_program_identifier_hup-gme-fellowship-dermatopathology-0b133cf636fb_76da3d87d776db52,hup_gme_fellowship_dermatopathology_0b133cf636fb,acgme_program_code,1004111012,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1004111012,accepted,0.91,program_identifier_candidate_hup-gme-fellowship-dermatopathology-0b133cf636fb_6d223a2cc6fb073c,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""810"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://dermatology.upenn.edu/education/fellowship-training/dermatopathology/""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Dermatopathology (multidisciplinary)""}"
official_program_identifier_hup-gme-residency-emergency-medicine-844b6b007cf_12ebc53e828d2f82,hup_gme_residency_emergency-medicine_844b6b007cf3,acgme_program_code,1104121148,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1104121148,accepted,0.91,program_identifier_candidate_hup-gme-residency-emergency-medicine-844b6b007cf_acd9b36673a5ea20,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""745"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/emergency-medicine""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Emergency medicine""}"
official_program_identifier_hup-gme-fellowship-endocrinology-67900e0ae4ef-ac_cb37ee026f8b8106,hup_gme_fellowship_endocrinology_67900e0ae4ef,acgme_program_code,1434121021,acgme_public_program_search,https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1434121021,accepted,0.89,program_identifier_candidate_hup-gme-fellowship-endocrinology-67900e0ae4ef-ac_8f90cf66d8e42cb5,2026-06-02T09:32:56.800704+00:00,"{""candidate_evidence"": {""acgme_data_item_key"": ""1776"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs""}, ""rationale"": ""Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling."", ""reconciliation_status"": ""accepted_official_program_identifier"", ""source_city"": ""Philadelphia"", ""source_program_name"": ""University of Pennsylvania Health System Program"", ""source_program_specialty"": ""Endocrinology, diabetes, and metabolism""}"
