candidate_key,official_program_key,official_program_type,official_program_name,official_department,identifier_type,identifier_value,identifier_source,source_program_specialty,source_program_name,source_city,source_state,source_status_json,source_url,candidate_status,confidence,match_reasons_json,evidence_json,observed_at
program_identifier_candidate_hup-gme-fellowship-brain-injury-medicine-0f5a49f_7f7966c492f61a4e,hup_gme_fellowship_brain-injury-medicine_0f5a49f6e439,fellowship,Brain Injury Medicine,Physical Medicine and Rehabilitation,acgme_program_code,3474134002,acgme_public_program_search,Brain injury medicine (Physical medicine and rehabilitation),University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3474134002,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""31649"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/physical-medicine-and-rehabilitation/education-and-training/physical-medicine-and-rehabilitation-fellowship-programs/traumatic-brain-injury-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-cardiovascular-disease-191ae4_5bcab3aa602303ca,hup_gme_fellowship_cardiovascular-disease_191ae40b3626,fellowship,Cardiovascular Disease,Internal Medicine,acgme_program_code,1414121023,acgme_public_program_search,Cardiovascular disease,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1414121023,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""1204"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/cardiovascular-disease-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-clinical-cardiac-electrophysi_31ff26d2eebd618c,hup_gme_fellowship_clinical-cardiac-electrophysiology_34e302d05ade,fellowship,Clinical Cardiac Electrophysiology,Internal Medicine,acgme_program_code,1544122065,acgme_public_program_search,Clinical cardiac electrophysiology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1544122065,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""2554"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/electrophysiology-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-clinical-neurophysiology-8096_957f6ee5c4463026,hup_gme_fellowship_clinical-neurophysiology_809610fb6bad,fellowship,Clinical Neurophysiology,Neurology,acgme_program_code,1874118002,acgme_public_program_search,Clinical neurophysiology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1874118002,ambiguous_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""57807"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://neurofellowships.uphs.upenn.edu/p/neurophysiologyepilepsy.html""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-clinical-neurophysiology-8096_911ca7c0dde8f03b,hup_gme_fellowship_clinical-neurophysiology_809610fb6bad,fellowship,Clinical Neurophysiology,Neurology,acgme_program_code,1874121087,acgme_public_program_search,Clinical neurophysiology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""5"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1874121087,ambiguous_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""3069"", ""acgme_status_cell"": "",5,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://neurofellowships.uphs.upenn.edu/p/neurophysiologyepilepsy.html""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-colon-and-rectal-surgery-5967_13d5ddc9b441761f,hup_gme_fellowship_colon-and-rectal-surgery_5967769408ef,fellowship,Colon and Rectal Surgery,Surgery,acgme_program_code,0604133054,acgme_public_program_search,Colon and rectal surgery,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0604133054,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""8804"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/colon-and-rectal-surgery-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-complex-family-planning-27618_59d677f4c9af4a0d,hup_gme_fellowship_complex-family-planning_27618361aaf7,fellowship,Complex Family Planning,Obstetrics and Gynecology,acgme_program_code,2364122002,acgme_public_program_search,Complex family planning,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2364122002,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""47656"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/family-planning""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-consultation-and-liaison-psyc_4c99e841814ef7e1,hup_gme_fellowship_consultation-and-liaison-psychiatry_e4dd2861f297,fellowship,Consultation and Liaison Psychiatry,Psychiatry,acgme_program_code,4094131036,acgme_public_program_search,Consultation-liaison psychiatry,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4094131036,review_acgme_identifier_candidate,0.8,"[""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""9582"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#psm""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-craniofacial-surgery-9144af8e_e0478f5f80897df9,hup_gme_fellowship_craniofacial-surgery_9144af8e134d,fellowship,Craniofacial Surgery,Surgery,acgme_program_code,3614136009,acgme_public_program_search,Craniofacial surgery,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3614136009,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""10983"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/craniofacial-surgery-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-critical-care-medicine-a51acc_9bbe6f02a980dd7d,hup_gme_fellowship_critical-care-medicine_a51acc5c27ee,fellowship,Critical Care Medicine,Anesthesiology,acgme_program_code,0454121005,acgme_public_program_search,Critical care medicine (Anesthesiology),University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=0454121005,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""711"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/fellowship-programs""}",2026-06-02T10:06:52.674352+00:00
