audit_key,artifact_path,artifact_role,artifact_format,required,exists_on_disk,byte_size,sha256,sqlite_table,artifact_rows,sqlite_rows,row_count_status,freshness_status,recommended_action,evidence_json,audited_at
warehouse_reproducibility_99e6c4e66a468961,artifacts/data/person_evidence_reviewer_decision_queue.csv,person_evidence_reviewer_decision_ledger,csv,1,1,2913342,14932887d848bd39c3e185bc48d26cd75fdc601c42e0f6255d5915939f469dc1,person_evidence_reviewer_decision_queue,792,792,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 792, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/person_evidence_reviewer_decision_queue.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 792, ""sqlite_table"": ""person_evidence_reviewer_decision_queue""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_e7470b8ca2a8bffe,artifacts/data/person_evidence_reviewer_decision_audit.csv,person_evidence_reviewer_decision_ledger,csv,1,1,2396487,2149bc16ee9d39e679b23d27fc4168254cb2f6d0dd6c001f01fb4bc7b42b77d6,person_evidence_reviewer_decision_audit,792,792,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 792, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/person_evidence_reviewer_decision_audit.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 792, ""sqlite_table"": ""person_evidence_reviewer_decision_audit""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_f5e43a4250040e5c,artifacts/data/enrichment_acceptance_audit.csv,acceptance_ledger,csv,1,1,31166424,5c6e22bedd46c9dd46fd63d6770b3f84e309a9ac501ce16514d561eae5631eb9,enrichment_acceptance_audit,8514,8514,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 8514, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/enrichment_acceptance_audit.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 8514, ""sqlite_table"": ""enrichment_acceptance_audit""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_79eb28dc19c152aa,artifacts/data/accepted_enrichment_claims.csv,accepted_enrichment_ledger,csv,1,1,26815,350669652ddd4bf08a366d6f0440fbd88c4b879ce34b51f38a1199b356df1115,accepted_enrichment_claims,5,5,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 5, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/accepted_enrichment_claims.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 5, ""sqlite_table"": ""accepted_enrichment_claims""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_bdef73aed4f2b526,artifacts/data/npi_candidate_claims.csv,identity_enrichment_ledger,csv,1,1,1616335,6932954af6d8278596613ffc4d97a5f5b4ba44f931e3f2939583ee1fad617ffa,npi_candidate_claims,1073,1073,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 1073, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/npi_candidate_claims.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 1073, ""sqlite_table"": ""npi_candidate_claims""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_6ec9eb9cbf6c0887,artifacts/data/npi_source_observations.csv,source_observation_ledger,csv,1,1,411589,76cb704fb5d14c2ee516c5aee5f984f83c7301838aee70af7601308d70e50524,npi_source_observations,1257,1257,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 1257, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/npi_source_observations.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 1257, ""sqlite_table"": ""npi_source_observations""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_99e1a8d9e79bef1a,artifacts/data/person_contacts.csv,contact_ledger,csv,1,1,97097,973f56d43d0bbd0baae6770b95f713fae5f184bcc225184377774ea1c907467a,person_contacts,313,313,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 313, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/person_contacts.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 313, ""sqlite_table"": ""person_contacts""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_9415233241cd84f2,artifacts/data/contact_assurance_audit.csv,contact_assurance_ledger,csv,1,1,619806,3aa2bd4fe7242f7b6ae00a12b88a9db28219f0e9d30af8418809d91f15157636,contact_assurance_audit,313,313,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 313, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/contact_assurance_audit.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 313, ""sqlite_table"": ""contact_assurance_audit""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_467f05f450a89e49,artifacts/data/contact_verification_contracts.csv,contact_verification_contract_ledger,csv,1,1,701827,81f075519d1d2d3fb89e0100c6500bd782768080ab9addfbd00afb86e39f96b3,contact_verification_contracts,313,313,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 313, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/contact_verification_contracts.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 313, ""sqlite_table"": ""contact_verification_contracts""}",2026-06-02T18:04:15.318093+00:00
warehouse_reproducibility_bf65f103ed9a5c32,artifacts/data/career_events.csv,attending_trend_input,csv,1,1,47340,c788ed898fb174392f4feca608c7d2519e21d973d52ce5ec97c44522cc578010,career_events,105,105,ok,artifact_present,retain_and_refresh_when_upstream_inputs_change,"{""artifact_rows"": 105, ""git_tracked"": true, ""github_recommended_file_limit_bytes"": 52428800, ""globbed_paths"": [], ""path"": ""artifacts/data/career_events.csv"", ""sha256_omitted_reason"": """", ""sqlite_rows"": 105, ""sqlite_table"": ""career_events""}",2026-06-02T18:04:15.318093+00:00
