organization_key,canonical_name,normalized_name,category,parent_name,resolver_status,confidence
org_medical-school-indiana-university-school-medicin_6fa96152211a,Indiana University School of Medicine,indiana university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-international-american-university_f1c8fec94a6b,International American University College of Medicine St. Lucia,international american university college medicine st lucia,medical_school,,cleaned_label,0.55
org_medical-school-islamic-international-medical-col_3ba9348dc1bd,Islamic International Medical College,islamic international medical college,medical_school,,cleaned_label,0.55
org_medical-school-js-weill-medical-college-cornell-_b3836d2a94f8,"JS Weill Medical College, Cornell University",js weill medical college cornell university,medical_school,,cleaned_label,0.55
org_medical-school-jefferson-university_f1bc716b07cf,Jefferson University,jefferson university,medical_school,,cleaned_label,0.55
org_medical-school-john-hopkins-university_dfd8ed3fd14a,John Hopkins University,john hopkins university,medical_school,,cleaned_label,0.55
org_medical-school-john-hopkins-university-school-me_fb56b2bcfa6d,John Hopkins University School of Medicine,john hopkins university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-johns-hopkins-university-school-m_c58f548fd0c7,Johns Hopkins University School of Medicine,johns hopkins university school medicine,medical_school,Johns Hopkins University,seeded_alias,0.98
org_medical-school-kaiser-permanente_4c19b9d7429c,Kaiser Permanente,kaiser permanente,medical_school,,cleaned_label,0.55
org_medical-school-kirksville-college-osteopathic-me_b771befed234,Kirksville College of Osteopathic Medicine,kirksville college osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-kwame-nkrumah-university-science-_c82033794dd3,"Kwame Nkrumah University of Science & Technology School of Medical Sciences, Tema, Ghana",kwame nkrumah university science technology school medical sciences tema ghana,medical_school,,cleaned_label,0.55
org_medical-school-kwame-nkrumah-science-technology-_665578a7cb69,"Kwame Nkrumah of Science and Technology, Kumasi - Ghana",kwame nkrumah science technology kumasi ghana,medical_school,,cleaned_label,0.55
org_medical-school-lau-gilbert-rose-marie-chagoury-s_973f8414a25f,LAU Gilbert and Rose-Marie Chagoury School of Medicine,lau gilbert rose marie chagoury school medicine,medical_school,,cleaned_label,0.55
org_medical-school-lau-gilbert-rose-marie-chagoury-s_05b5d3f45563,"LAU Gilbert and Rose-Marie Chagoury School of Medicine, Blat, Lebanon",lau gilbert rose marie chagoury school medicine blat lebanon,medical_school,,cleaned_label,0.55
org_medical-school-lewis-katz-school-medicine-temple_b47ba57d00ca,Lewis Katz School of Medicine at Temple University,lewis katz school medicine temple university,medical_school,,cleaned_label,0.55
org_medical-school-lincoln-memorial-university-debus_6c8e5a63d797,"Lincoln Memorial University Debusk College of Osteopathic Medicine, Harrogate , TN",lincoln memorial university debusk college osteopathic medicine harrogate tn,medical_school,,cleaned_label,0.55
org_medical-school-louisiana-state-university-school_51f0a0c1b79a,Louisiana State University School of Medicine,louisiana state university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-maulana-azad-medical-college-in_6da3c426b1ef,Maulana Azad Medical College (IN),maulana azad medical college in,medical_school,,cleaned_label,0.55
org_medical-school-maulana-azad-medical-college-delh_43fb4b05a213,"Maulana Azad Medical College, Delhi",maulana azad medical college delhi,medical_school,,cleaned_label,0.55
org_medical-school-mayo-clinic-alix-school-medicine_46cd79928d49,Mayo Clinic Alix School of Medicine,mayo clinic alix school medicine,medical_school,,cleaned_label,0.55
org_medical-school-mcgovern-medical-school-universit_b95252aca466,McGovern Medical School at the University of Texas,mcgovern medical school university texas,medical_school,,cleaned_label,0.55
org_medical-school-medical-college-georgia_74cfe0348fd5,Medical College of Georgia,medical college georgia,medical_school,,cleaned_label,0.55
org_medical-school-medical-college-georgia-augusta-u_8311ac8a2cac,Medical College of Georgia at Augusta University,medical college georgia augusta university,medical_school,,cleaned_label,0.55
org_medical-school-medical-college-wisconsin_79a3f279574f,Medical College of Wisconsin,medical college wisconsin,medical_school,,cleaned_label,0.55
org_medical-school-michigan-state-university-college_b28f18f14c26,Michigan State University College of Human Medicine,michigan state university college human medicine,medical_school,,cleaned_label,0.55
org_medical-school-midwestern-university_eb0b0f295a9a,Midwestern University,midwestern university,medical_school,,cleaned_label,0.55
org_medical-school-morehouse-school-medicine_27f8e5c77f37,Morehouse School of Medicine,morehouse school medicine,medical_school,,cleaned_label,0.55
org_medical-school-ny-medical-college_f5df86957ddc,NY Med College,ny medical college,medical_school,,cleaned_label,0.55
org_medical-school-nyit-college-osteopathic-medicine_be19ed27985c,NYIT College of Osteopathic Medicine,nyit college osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-nyu-grossman-school-medicine_d7ebd4986939,NYU Grossman School of Medicine,nyu grossman school medicine,medical_school,New York University,seeded_alias,0.98
org_medical-school-nyu-school-medicine-mstp_a224d6953704,NYU School of Medicine MSTP,nyu school medicine mstp,medical_school,,cleaned_label,0.55
org_medical-school-nagoya-university-school-medicine_f7a421cb747b,Nagoya University School of Medicine,nagoya university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-new-york-institute-technology-col_dcc9b6b50ce5,"New York Institute of Technology College of Osteopathic Medicine, Old Westbury, NY",new york institute technology college osteopathic medicine old westbury ny,medical_school,,cleaned_label,0.55
org_medical-school-new-york-medical-college_2f27ce26463a,New York Medical College,new york medical college,medical_school,,cleaned_label,0.55
org_medical-school-new-york-university-school-medici_6be9ae3c6a7a,New York University School of Medicine,new york university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-north-delhi-municipal-corporation_2db4e68af2cc,"North Delhi Municipal Corporation Medical College, Hindu Rao Hospital",north delhi municipal corporation medical college hindu rao hospital,medical_school,,cleaned_label,0.55
org_medical-school-northwestern-university-feinberg-_334f5ac50097,Northwestern University Feinberg School of Medicine,northwestern university feinberg school medicine,medical_school,,cleaned_label,0.55
org_medical-school-ohio-state-university-college-med_9ed9bee9dcc1,Ohio State University College of Medicine,ohio state university college medicine,medical_school,,cleaned_label,0.55
org_medical-school-oregon-health-science-university_85c5fc06628a,Oregon Health and Science University,oregon health science university,medical_school,,cleaned_label,0.55
org_medical-school-osmania-medical-college_d93be782a35e,Osmania Medical College,osmania medical college,medical_school,,cleaned_label,0.55
org_medical-school-penn-state-college-medicine_1ac376bb6010,Penn State College of Medicine,penn state college medicine,medical_school,,cleaned_label,0.55
org_medical-school-perelman-school-medicine-universi_354daf997254,Perelman School of Medicine at the University of Pennsylvania,perelman school medicine university pennsylvania,medical_school,University of Pennsylvania,seeded_alias,0.98
org_medical-school-perelman-school-medicine-universi_669f9716b48c,"Perelman School of Medicine at the University of Pennsylvania Residency: Surgery, University of Texas Southwestern",perelman school medicine university pennsylvania residency surgery university texas southwestern,medical_school,,cleaned_label,0.55
org_medical-school-pern-state-college-medicine_3bc9a61b5eed,Pern State College of Medicine,pern state college medicine,medical_school,,cleaned_label,0.55
org_medical-school-philadelphia-college-osteopathic-_12abdc4c0be6,Philadelphia College of Osteopathic Medicine,philadelphia college osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-philadelphia-college-osteopathic-_97ae4dbb2cdf,"Philadelphia College of Osteopathic Medicine, Philadelphia, PA",philadelphia college osteopathic medicine philadelphia pa,medical_school,,cleaned_label,0.55
org_medical-school-philadelphia-college-osteopathic-_00bae35bd0d0,Philadelphia College of Osteopathic Medicine. Doctor of Osteopathic Medicine,philadelphia college osteopathic medicine doctor osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-renaissance-school-medicine-stony_3b81a87b2b89,Renaissance School of Medicine at Stony Brook,renaissance school medicine stony brook,medical_school,,cleaned_label,0.55
org_medical-school-renaissance-school-medicine-stony_a7fc406b67c5,Renaissance School of Medicine at Stony Brook University,renaissance school medicine stony brook university,medical_school,,cleaned_label,0.55
org_medical-school-robert-larner-college-medicine-un_c3effe2dcee3,Robert Larner College of Medicine at the University of Vermont,robert larner college medicine university vermont,medical_school,,cleaned_label,0.55
org_medical-school-rowan-university-school-osteopath_dc6f6a44f50d,Rowan University School of Osteopathic Medicine,rowan university school osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-rowan-virta-school-osteopathic-me_cd836e20097e,Rowan-Virta School of Osteopathic Medicine,rowan virta school osteopathic medicine,medical_school,,cleaned_label,0.55
org_medical-school-rowan-virtua-school-osteopathic-m_2aa0389919f9,"Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ",rowan virtua school osteopathic medicine stratford nj,medical_school,,cleaned_label,0.55
org_medical-school-royal-college-surgeons-in-ireland_6b4b6d3f6ccf,Royal College of Surgeons in Ireland,royal college surgeons in ireland,medical_school,,cleaned_label,0.55
org_medical-school-royal-college-surgeons-in-ireland_a5ed12fab9bd,Royal College of Surgeons in Ireland - Medical University of Bahrain,royal college surgeons in ireland medical university bahrain,medical_school,,cleaned_label,0.55
org_medical-school-royal-college-surgeons-in-ireland_783200e0cf71,Royal College of Surgeons in Ireland School of Medicine,royal college surgeons in ireland school medicine,medical_school,,cleaned_label,0.55
org_medical-school-rush-medical-college-rush-univers_a3071e2c51cd,Rush Medical College of Rush University Medical Center,rush medical college rush university medical center,medical_school,,cleaned_label,0.55
org_medical-school-rutgers-nj-medical-school_ac1ac64eea5b,Rutgers NJ Medical School,rutgers nj medical school,medical_school,,cleaned_label,0.55
org_medical-school-rutgers-new-jersey-medical-school_b4bfe1582e31,Rutgers New Jersey Medical School,rutgers new jersey medical school,medical_school,,cleaned_label,0.55
org_medical-school-rutgers-rw-johnson-medical-school_279a2d778818,Rutgers RW Johnson Medical School,rutgers rw johnson medical school,medical_school,,cleaned_label,0.55
org_medical-school-rutgers-rober-wood-johnson-medica_a23f5e0821d6,Rutgers Rober Wood Johnson Medical School,rutgers rober wood johnson medical school,medical_school,,cleaned_label,0.55
org_medical-school-rutgers-robert-wood-johnson-medic_7bbee03087bc,Rutgers Robert Wood Johnson Medical School,rutgers robert wood johnson medical school,medical_school,Rutgers University,seeded_alias,0.98
org_medical-school-rutgers-robert-wood-johnson_348cc6c896d1,"Rutgers, Robert Wood Johnson",rutgers robert wood johnson,medical_school,,cleaned_label,0.55
org_medical-school-suny-downstate-college-medicine_9cc39e9eda66,SUNY Downstate College of Medicine,suny downstate college medicine,medical_school,,cleaned_label,0.55
org_medical-school-suny-downstate-health-sciences-un_125471c3077a,"SUNY Downstate Health Sciences University, Brooklyn, NY",suny downstate health sciences university brooklyn ny,medical_school,,cleaned_label,0.55
org_medical-school-suny-upstate-medical-university_580441a039f3,SUNY Upstate Medical University,suny upstate medical university,medical_school,,cleaned_label,0.55
org_medical-school-sidney-kimmel-medical-col-thomas-_add8af86d89c,Sidney Kimmel Med Col at Thomas Jefferson,sidney kimmel medical col thomas jefferson,medical_school,,cleaned_label,0.55
org_medical-school-sidney-kimmel-medical-col-thomas-_ff90e74a2963,Sidney Kimmel Med Col at Thomas Jefferson University,sidney kimmel medical col thomas jefferson university,medical_school,,cleaned_label,0.55
org_medical-school-sidney-kimmel-medical-college-tho_267e21b52df9,Sidney Kimmel Medical College Thomas Jefferson,sidney kimmel medical college thomas jefferson,medical_school,,cleaned_label,0.55
org_medical-school-sidney-kimmel-medical-college-tho_a84e77b132a7,Sidney Kimmel Medical College at Thomas Jefferson University,sidney kimmel medical college thomas jefferson university,medical_school,Thomas Jefferson University,seeded_alias,0.98
org_medical-school-sidney-kimmel-medical-college-tho_a346343db80d,"Sidney Kimmel Medical College at Thomas Jefferson University Residency: Family Medicine, Carl R Darnall Army Medical Center",sidney kimmel medical college thomas jefferson university residency family medicine carl r darnall army medical center,medical_school,,cleaned_label,0.55
org_medical-school-sidney-kimmell-thomas-jefferson-u_84b3c657614b,Sidney Kimmell at Thomas Jefferson University,sidney kimmell thomas jefferson university,medical_school,,cleaned_label,0.55
org_medical-school-st-george-s-university-school-med_0c3b12f28f61,"St. George's University School of Medicine, True Blue, Grenada",st george s university school medicine true blue grenada,medical_school,,cleaned_label,0.55
org_medical-school-st-george-s-university-medical-sc_1a4625f5d5a2,St. George’s University Medical School,st george s university medical school,medical_school,,cleaned_label,0.55
org_medical-school-stanford-university-school-medici_76d8c5702b31,Stanford University School of Medicine,stanford university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-state-un-new-york-downstate-medic_ab46e897c7ec,State Un of New York Downstate Medical Center,state un new york downstate medical center,medical_school,,cleaned_label,0.55
org_medical-school-state-university-ny-downstate-med_0439776c5ac6,"State University of NY Downstate Medical Center College of Medicine, Brooklyn, NY",state university ny downstate medical center college medicine brooklyn ny,medical_school,,cleaned_label,0.55
org_medical-school-state-university-ny-stony-brook-s_414b76948420,State University of NY at Stony Brook School of Medicine,state university ny stony brook school medicine,medical_school,,cleaned_label,0.55
org_medical-school-state-university-new-york-downsta_867f454f2a8f,State University of New York Downstate,state university new york downstate,medical_school,,cleaned_label,0.55
org_medical-school-state-university-new-york-buffalo_ccb6e9e03a0f,"State University of New York, Buffalo New York",state university new york buffalo new york,medical_school,,cleaned_label,0.55
org_medical-school-tehran-university-medical-science_13d871bfe57f,"Tehran University of Medical Sciences, Tehran",tehran university medical sciences tehran,medical_school,,cleaned_label,0.55
org_medical-school-temple-university-school-medicine_2d38baf382a8,Temple University School of Medicine,temple university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-feinberg-school-medicine-northwes_8aeb7734bb4a,"The Feinberg School of Medicine, Northwestern University",feinberg school medicine northwestern university,medical_school,,cleaned_label,0.55
org_medical-school-university-chicago-pritzker-schoo_a5dea490dd63,The University of Chicago Pritzker School of Medicine,university chicago pritzker school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-connecticut-school-med_5000e0d00823,The University of Connecticut School of Medicine,university connecticut school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-texas-health-science-c_808a05b707ce,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,university texas health science center san antonio joe r teresa lozano long school medicine,medical_school,,cleaned_label,0.55
org_medical-school-touro-college-osteopathic-medicin_d6deb8a31f08,Touro College of Osteopathic Medicine - New York,touro college osteopathic medicine new york,medical_school,,cleaned_label,0.55
org_medical-school-touro-college-osteopathic-medicin_91eaeca5a423,"Touro College of Osteopathic Medicine, New York, NY",touro college osteopathic medicine new york ny,medical_school,,cleaned_label,0.55
org_medical-school-trinity-school-medicine_62ad64b2f811,Trinity School of Medicine,trinity school medicine,medical_school,,cleaned_label,0.55
org_medical-school-tufts-university_19ad81227cca,Tufts University,tufts university,medical_school,,cleaned_label,0.55
org_medical-school-tufts-university-school-medicine_4f7d785f351a,Tufts University School of Medicine,tufts university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-tulane-university-school-medicine_1eeb81848f68,Tulane University School of Medicine,tulane university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-ucla-david-geffen-school-medicine_bca513bce0f6,UCLA David Geffen School of Medicine,ucla david geffen school medicine,medical_school,,cleaned_label,0.55
org_medical-school-ucsf-school-medicine_8119843006b3,UCSF School of Medicine,ucsf school medicine,medical_school,,cleaned_label,0.55
org_medical-school-usf-health-morsani-college-medici_c045056aa5b3,USF Health Morsani College of Medicine,usf health morsani college medicine,medical_school,,cleaned_label,0.55
org_medical-school-un-texas-southwestern-medical-sch_17fc1677921a,Un of Texas Southwestern Medical School At Dallas,un texas southwestern medical school dallas,medical_school,,cleaned_label,0.55
org_medical-school-uniformed-services-university-hea_2a218dd31739,Uniformed Services University of the Health Sciences,uniformed services university health sciences,medical_school,,cleaned_label,0.55
org_medical-school-university-college-dublin_eec47638df95,Univ College Dublin,university college dublin,medical_school,,cleaned_label,0.55
org_medical-school-university-belgrade_11b008a05a9c,Univ of Belgrade,university belgrade,medical_school,,cleaned_label,0.55
org_medical-school-university-texas-southwestern-med_1daa059df6aa,Univ of Texas Southwestern Medical School,university texas southwestern medical school,medical_school,,cleaned_label,0.55
org_medical-school-universidad-central-de-venezuela-_0ca53287a2ed,"Universidad Central de Venezuela Escuela de Medicina Jose Maria Vargas, Venezuela",universidad central de venezuela escuela de medicina jose maria vargas venezuela,medical_school,,cleaned_label,0.55
org_medical-school-universidad-francisco-marroquin_d14cc3848ae6,Universidad Francisco Marroquin,universidad francisco marroquin,medical_school,,cleaned_label,0.55
org_medical-school-universidad-francisco-marroquin-f_71387d13f0d6,Universidad Francisco Marroquin Facultad de Medicina,universidad francisco marroquin facultad de medicina,medical_school,,cleaned_label,0.55
org_medical-school-universidad-peruana-de-ciencias-a_eae86f7a143d,Universidad Peruana de Ciencias Aplicadas (UPC) Escuela de Medicina,universidad peruana de ciencias aplicadas upc escuela de medicina,medical_school,,cleaned_label,0.55
org_medical-school-universidad-de-san-martin-de-porr_9e1d62db272c,Universidad de San Martin de Porres,universidad de san martin de porres,medical_school,,cleaned_label,0.55
org_medical-school-universidad-de-san-martin-de-porr_2f13a3a9e32c,Universidad de San Martin de Porres Facultad de Medicina,universidad de san martin de porres facultad de medicina,medical_school,,cleaned_label,0.55
org_medical-school-universidade-do-oeste-paulista_4826df3ae8d6,Universidade do Oeste Paulista,universidade do oeste paulista,medical_school,,cleaned_label,0.55
org_medical-school-university-college-dublin-school-_1c2ff955dfe3,University College Dublin School of Medicine,university college dublin school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-college-dublin-ireland_477465f764a3,"University College Dublin, Ireland",university college dublin ireland,medical_school,,cleaned_label,0.55
org_medical-school-university-alabama_d91665fc45c0,University of Alabama,university alabama,medical_school,,cleaned_label,0.55
org_medical-school-university-aleppo_6e4dad6f1430,University of Aleppo,university aleppo,medical_school,,cleaned_label,0.55
org_medical-school-university-california-san-francis_91c4541d71ad,University of California San Francisco School of Medicine,university california san francisco school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-california-san-francis_b6494045b29f,"University of California, San Francisco",university california san francisco,medical_school,,cleaned_label,0.55
org_medical-school-university-central-florida-colleg_a9e51b883bba,University of Central Florida College of Medicine,university central florida college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-chicago-pritzker_b05240af3ee8,University of Chicago Pritzker,university chicago pritzker,medical_school,,cleaned_label,0.55
org_medical-school-university-colorado-medical-schoo_3d7de117c820,University of Colorado Medical School,university colorado medical school,medical_school,,cleaned_label,0.55
org_medical-school-university-colorado-school-medici_36cdba587f51,University of Colorado School of Medicine Denver,university colorado school medicine denver,medical_school,,cleaned_label,0.55
org_medical-school-university-florida_a91fe24edaa4,University of Florida,university florida,medical_school,,cleaned_label,0.55
org_medical-school-university-florida-college-medici_29050077c4f6,University of Florida College of Medicine,university florida college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-ghana-medical-school_09384eabe8a6,University of Ghana Medical School,university ghana medical school,medical_school,,cleaned_label,0.55
org_medical-school-university-illinois-college-medic_6027633cac30,University of Illinois College of Medicine,university illinois college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-illinois-college-medic_baef4882f414,University of Illinois College of Medicine at Chicago,university illinois college medicine chicago,medical_school,,cleaned_label,0.55
org_medical-school-university-illinois-chicago_edf5af328ecf,University of Illinois at Chicago,university illinois chicago,medical_school,,cleaned_label,0.55
org_medical-school-university-illinois-chicago-colle_77f4ecee5094,University of Illinois at Chicago College of Medicine,university illinois chicago college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-iowa-roy-j-lucille-a-c_66f005661d25,University of Iowa Roy J and Lucille A Carver College,university iowa roy j lucille a carver college,medical_school,,cleaned_label,0.55
org_medical-school-university-iowa-roy-j-lucille-a-c_879922d6f36a,University of Iowa Roy J and Lucille A Carver College of Medicine,university iowa roy j lucille a carver college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-kentucky-college-medic_50318770a34e,University of Kentucky College of Medicine. Doctor of Medicine,university kentucky college medicine doctor medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-limerick-graduate-medi_645958e35533,University of Limerick Graduate Medical School,university limerick graduate medical school,medical_school,,cleaned_label,0.55
org_medical-school-university-maryland-school-medici_64f48763c79b,University of Maryland School of Medicine,university maryland school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-massachusetts-medical-_9466afd49062,University of Massachusetts Medical School,university massachusetts medical school,medical_school,,cleaned_label,0.55
org_medical-school-university-massachusetts-t-h-chan_8dcc80f3baf1,University of Massachusetts T.H. Chan School of Medicine,university massachusetts t h chan school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-miami_332d995ae1b2,University of Miami,university miami,medical_school,,cleaned_label,0.55
org_medical-school-university-michigan-medical-schoo_4e77705d06ed,University of Michigan Medical School,university michigan medical school,medical_school,University of Michigan,seeded_alias,0.98
org_medical-school-university-minnesota_0c1e7c131a01,University of Minnesota,university minnesota,medical_school,,cleaned_label,0.55
org_medical-school-university-minnesota-medical-scho_6af9705f38ae,University of Minnesota Medical School,university minnesota medical school,medical_school,,cleaned_label,0.55
org_medical-school-university-minnesota-medical-scho_24e30b6c3ebf,"University of Minnesota Medical School, Twin Cities",university minnesota medical school twin cities,medical_school,,cleaned_label,0.55
org_medical-school-university-minnesota-twin-cities_52fffeef025d,University of Minnesota-Twin Cities,university minnesota twin cities,medical_school,,cleaned_label,0.55
org_medical-school-university-missouri-school-medici_4dc982c9c961,University of Missouri School of Medicine,university missouri school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-nebraska-medical-cente_63b1915a16d6,University of Nebraska Medical Center,university nebraska medical center,medical_school,,cleaned_label,0.55
org_medical-school-university-north-carolina-chapel-_df7f97f30b65,University of North Carolina at Chapel Hill,university north carolina chapel hill,medical_school,,cleaned_label,0.55
org_medical-school-university-north-carolina-chapel-_557001eeb3eb,"University of North Carolina at Chapel Hill, Chapel Hill, NC",university north carolina chapel hill chapel hill nc,medical_school,,cleaned_label,0.55
org_medical-school-university-oklahoma-college-medic_1eca26ce4aee,University of Oklahoma College of Medicine,university oklahoma college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-ottawa_aa12699a05b4,University of Ottawa,university ottawa,medical_school,,cleaned_label,0.55
org_medical-school-university-pennsylvania-perelman-_dcf10b583d04,University of Pennsylvania Perelman School of Medicine,university pennsylvania perelman school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-pennsylvania-school-me_1d21d60b8702,University of Pennsylvania School of Medicine Residency: Northwestern Memorial Hospital,university pennsylvania school medicine residency northwestern memorial hospital,medical_school,,cleaned_label,0.55
org_medical-school-university-pittsburgh-school-medi_45cddfa7361f,University of Pittsburgh School of Medicine,university pittsburgh school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-puerto-rico_2fe600dc41ba,University of Puerto Rico,university puerto rico,medical_school,,cleaned_label,0.55
org_medical-school-university-south-florida_ba9e1aa99f1e,University of South Florida,university south florida,medical_school,,cleaned_label,0.55
org_medical-school-university-south-florida-morsani-_0b99f5edb309,University of South Florida Morsani College of Medicine,university south florida morsani college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-tennessee_45a9e2f9a76d,University of Tennessee,university tennessee,medical_school,,cleaned_label,0.55
org_medical-school-university-tennessee-health-scien_1f5d6e112377,University of Tennessee Health Science,university tennessee health science,medical_school,,cleaned_label,0.55
org_medical-school-university-tennessee-health-scien_1b4018e87eaf,University of Tennessee Health Science Center College of Medicine,university tennessee health science center college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-tennessee-health-scien_557359f1a01a,University of Tennessee Health Sciences Center,university tennessee health sciences center,medical_school,,cleaned_label,0.55
org_medical-school-university-texas-medical-branch_d4f65aa3a218,University of Texas Medical Branch,university texas medical branch,medical_school,,cleaned_label,0.55
org_medical-school-university-texas-southwestern-med_469c81748aae,University of Texas Southwestern Medical Center at Dallas,university texas southwestern medical center dallas,medical_school,,cleaned_label,0.55
org_medical-school-university-toledo-college-medicin_667795b0754c,University of Toledo College of Medicine,university toledo college medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-tufts-school-medicine_df59a12b5f20,University of Tufts School of Medicine,university tufts school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-utah-school-medicine-s_bc9954b8db49,"University of Utah School of Medicine, Salt Lake City, UT",university utah school medicine salt lake city ut,medical_school,,cleaned_label,0.55
org_medical-school-university-virginia_b8d043f19a64,University of Virginia,university virginia,medical_school,,cleaned_label,0.55
org_medical-school-university-virginia-medical-schoo_65eb0d32b964,University of Virginia Medical School,university virginia medical school,medical_school,,cleaned_label,0.55
org_medical-school-university-virginia-school-medici_635d9ea4f566,University of Virginia School of Medicine,university virginia school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university-washington-school-medi_9dd974bd2a60,University of Washington School of Medicine,university washington school medicine,medical_school,,cleaned_label,0.55
org_medical-school-vanderbilt-university_65d9c8f2a22d,Vanderbilt University,vanderbilt university,medical_school,,cleaned_label,0.55
org_medical-school-vanderbilt-university-school-medi_526121f2e2da,Vanderbilt University School of Medicine,vanderbilt university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-virginia-commonwealth-university_972eb4b2eaba,Virginia Commonwealth University,virginia commonwealth university,medical_school,,cleaned_label,0.55
org_medical-school-virginia-commonwealth-university-_e853376e994f,Virginia Commonwealth University School of Medicine,virginia commonwealth university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-wake-forest-university-school-med_9f27c7ee6c5c,Wake Forest University School of Medicine,wake forest university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-warren-alpert-medical-school-brow_763eb0e8be49,Warren Alpert Medical School of Brown University,warren alpert medical school brown university,medical_school,,cleaned_label,0.55
org_medical-school-washington-state-university_13a417c9c835,Washington State University,washington state university,medical_school,,cleaned_label,0.55
org_medical-school-washington-university_f091c1b75106,Washington University,washington university,medical_school,,cleaned_label,0.55
org_medical-school-washington-university-saint-louis_b79877220a3f,Washington University Saint Louis School of Medicine,washington university saint louis school medicine,medical_school,,cleaned_label,0.55
org_medical-school-washington-university-school-medi_06728f44920b,Washington University School of Medicine,washington university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-washington-university-in-st-louis_6b1c9471ef4c,Washington University in St. Louis,washington university in st louis,medical_school,,cleaned_label,0.55
org_medical-school-wayne-state-university-school-med_7f313d080ea6,Wayne State University School of Medicine,wayne state university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-weill-cornell-medical-college_6af7fe46a529,Weill Cornell Medical College,weill cornell medical college,medical_school,,cleaned_label,0.55
org_medical-school-weill-cornell-medical-college-in-_5df5b6b08287,Weill Cornell Medical College in Qatar,weill cornell medical college in qatar,medical_school,,cleaned_label,0.55
org_medical-school-weill-cornell-medical-school_226681544211,Weill Cornell Medical School,weill cornell medical school,medical_school,,cleaned_label,0.55
org_medical-school-weill-cornell-medicine_8d2a26b3a50d,Weill Cornell Medicine,weill cornell medicine,medical_school,,cleaned_label,0.55
org_medical-school-weill-cornell-school-medicine_6e0b7d24807d,Weill Cornell School of Medicine,weill cornell school medicine,medical_school,,cleaned_label,0.55
org_medical-school-west-virginia-school-osteopathic-_738bc833f2b6,West Virginia School of Osteopathic Mediine,west virginia school osteopathic mediine,medical_school,,cleaned_label,0.55
org_medical-school-yale-school-medicine_0ff0d4345017,Yale School of Medicine,yale school medicine,medical_school,,cleaned_label,0.55
org_medical-school-yale-university_49a38d8efa72,Yale University,yale university,medical_school,,cleaned_label,0.55
org_medical-school-yale-university-school-medicine_ceeb7c60ecd3,Yale University - School of Medicine,yale university school medicine,medical_school,,cleaned_label,0.55
org_medical-school-zucker-school-medicine_cb7ab8ad0b3c,Zucker School of Medicine,zucker school medicine,medical_school,,cleaned_label,0.55
org_medical-school-medical-school-case-western-reser_afa2669a4f9f,medical school at Case Western Reserve University,medical school case western reserve university,medical_school,,cleaned_label,0.55
org_medical-school-medical-school-perelman-school-me_7c6d6e92c49f,medical school at the Perelman School of Medicine,medical school perelman school medicine,medical_school,,cleaned_label,0.55
org_medical-school-medical-school-university_75e196da8cff,medical school at the University,medical school university,medical_school,,cleaned_label,0.55
