duration_evidence_key,observation_key,audit_key,official_program_key,matched_program_key,identifier_key,official_program_type,official_program_name,matched_program_name,identifier_value,source_program_specialty,lifecycle_status,source_url,http_status,page_title,explicit_duration_years,duration_phrase,duration_context,duration_evidence_status,recommended_action,confidence,match_reasons_json,evidence_json,observed_at
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_f990edb7a10c309d,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_b3f9f8998e227a8e,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-a_1d6c738ac24ffd44,hup_gme_fellowship_adult-reconstructive-orthopedics_ba6a91e2425b,program_fellow-adult-reconstructive-orthopedics-fellowsh_28e2575107ca,official_program_identifier_hup-gme-fellowship-adult-reconstructive-orthoped_fd36cd24d1e28bb8,fellowship,Adult Reconstructive Orthopedics,Adult Reconstructive Orthopedics Fellowship,2614121001,Adult reconstructive orthopaedics,accepted_identifier_with_default_or_unknown_lifecycle,https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction,200,Adult Reconstructive Surgery Fellowship - Penn Medicine,,,,no_explicit_duration_evidence_found,keep_default_lifecycle_rule_until_explicit_duration_source_is_found,0.28,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present""]","{""all_duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2614121001"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 0, ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/orthopaedic-surgery/education-and-training/fellowships/adult-reconstruction"", ""page_text_sha256"": ""5cdce7f1d04972e208232e332346433e7b96d63d51447662de2d8e5b181d997c"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_64a7493906497596,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_7e7fac2477147965,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-c_9bcbcda830493d31,hup_gme_fellowship_cytopathology_c3e8c941b7d0,program_fellow-cytopathology-fellowship_5cde9d314b2d,official_program_identifier_hup-gme-fellowship-cytopathology-c3e8c941b7d0-ac_e199c6d685f20615,fellowship,Cytopathology,Cytopathology Fellowship,3074121004,Cytopathology,accepted_identifier_with_default_or_unknown_lifecycle,https://pathology.med.upenn.edu/education/fellowships/programs/cytopathology,200,Cytopathology Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,,,,no_explicit_duration_evidence_found,keep_default_lifecycle_rule_until_explicit_duration_source_is_found,0.28,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present""]","{""all_duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3074121004"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 0, ""effective_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/cytopathology"", ""page_text_sha256"": ""91454dd8c28626e434f20414c40ddab185eb8a2b485126bdbcd7ffc7e05da632"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_c37809343b7da708,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_af7a794bc745bac0,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-g_3e4081866f8b92b5,hup_gme_fellowship_gynecologic-oncology_59b3af566d85,program_fellow-gynecologic-oncology-fellowship_f87d447ae076,official_program_identifier_hup-gme-fellowship-gynecologic-oncology-59b3af56_74f111110e5d9d34,fellowship,Gynecologic Oncology,Gynecologic Oncology Fellowship,2254122005,Gynecologic oncology,accepted_identifier_with_default_or_unknown_lifecycle,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/gynecologic-oncology,200,Gynecologic Oncology - Penn Medicine,2,two year,"ty for development and preparation of the thesis required for board certification. We expect that all fellows will complete between one and three projects leading to publication during this research year. The subsequent two years of the training program will be an intensive experience in the clinical care of gynecologic oncology patients, with an emphasis on radical pelvic surgery, chemotherapy, and radiotherapy. Fellows will also spend a significant portion of their time in clinical",reviewer_ready_duration_lifecycle_candidate,review_duration_evidence_then_add_specific_lifecycle_rule_if_program_scope_matches,0.78,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present"", ""single_explicit_duration_value"", ""official_page_context_confirmed""]","{""all_duration_mentions"": [{""context"": ""ty for development and preparation of the thesis required for board certification. We expect that all fellows will complete between one and three projects leading to publication during this research year. The subsequent two years of the training program will be an intensive experience in the clinical care of gynecologic oncology patients, with an emphasis on radical pelvic surgery, chemotherapy, and radiotherapy. Fellows will also spend a significant portion of their time in clinical"", ""negative_context"": false, ""phrase"": ""two year"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2254122005"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 1, ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/gynecologic-oncology"", ""page_text_sha256"": ""db23da4c26a283b948b4e091523f985bfd7e69e97eac201dda69d481ec83fa52"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_52e8b54b43ddd3d6,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_c4ecc8e04a074bae,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-h_328ab0ba50a0ce91,hup_gme_fellowship_hematopathology_07d280563504,program_fellow-hematopathology-fellowship_14e7747178e4,official_program_identifier_hup-gme-fellowship-hematopathology-07d280563504-_609770715a70119f,fellowship,Hematopathology,Hematopathology Fellowship,3114121069,Hematopathology,accepted_identifier_with_default_or_unknown_lifecycle,https://pathology.med.upenn.edu/education/fellowships/programs/clinical-chemistry-fellowship,200,Clinical Chemistry Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,2,two-year fellowship,"cal Pathology Transfusion Medicine Student Fellowship Fellows Clinical Chemistry Fellowship Fellowship Overview A clinical chemistry postdoctoral fellowship position is available at University of Pennsylvania. This is a two-year fellowship position , available starting July 1. The Clinical Chemistry fellow will rotate through various laboratories at Hospital of University of Pennsylvania (HUP) and Children’s Hospital of Philadelphia (CHOP) in the Department of Pathology and Laboratory Medicin",duration_source_program_mismatch_review,verify_official_page_scope_before_lifecycle_rule_change,0.42,"[""page_title_names_different_training_program"", ""official_program_name_only_supported_outside_title"", ""acgme_specialty_only_supported_outside_title"", ""official_page_program_context_not_confirmed"", ""duration_phrase_on_unconfirmed_program_page""]","{""all_duration_mentions"": [{""context"": ""cal Pathology Transfusion Medicine Student Fellowship Fellows Clinical Chemistry Fellowship Fellowship Overview A clinical chemistry postdoctoral fellowship position is available at University of Pennsylvania. This is a two-year fellowship position , available starting July 1. The Clinical Chemistry fellow will rotate through various laboratories at Hospital of University of Pennsylvania (HUP) and Children\u2019s Hospital of Philadelphia (CHOP) in the Department of Pathology and Laboratory Medicin"", ""negative_context"": false, ""phrase"": ""two-year fellowship"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3114121069"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 1, ""effective_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/clinical-chemistry-fellowship"", ""page_text_sha256"": ""c6ba7ec8292ed9497141e09f65b9a68028e7d9940411cf43c1782612a88f1987"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_c579a991b488a527,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_cb89bc6be9a4d477,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-m_316cfbc1bd40fd23,hup_gme_fellowship_maternal-fetal-medicine_fa13cced70c8,program_fellow-maternal-fetal-medicine-fellowship_aac8233c0211,official_program_identifier_hup-gme-fellowship-maternal-fetal-medicine-fa13c_de0f50984b4bc708,fellowship,Maternal Fetal Medicine,Maternal Fetal Medicine Fellowship,2304122004,Maternal-fetal medicine,accepted_identifier_with_default_or_unknown_lifecycle,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/maternal-fetal-medicine,200,Page Not Found | Perelman School of Medicine | Perelman School of Medicine at the University of Pennsylvania,,,,no_explicit_duration_evidence_found,keep_default_lifecycle_rule_until_explicit_duration_source_is_found,0.18,"[""penn_context_present"", ""official_page_program_context_not_confirmed""]","{""all_duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2304122004"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 0, ""effective_url"": ""https://www.med.upenn.edu/academic-departments/department-of-obstetrics-and-gynecology/education-and-training/fellowship-programs/maternal-fetal-medicine-fellowship?redirect=1&referrer=pennmed&source=fsu"", ""page_text_sha256"": ""b2180ad3671d80d2475841091b407e764cd543ef8611d8bc777c794a5e1af50e"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_d62942b2d0c3715f,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_83c2af66ff15748e,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-m_672c34825c84cc17,hup_gme_fellowship_molecular-genetic-pathology_d07dc958c36e,program_fellow-molecular-genetic-pathology-fellowship_8a161f5504db,official_program_identifier_hup-gme-fellowship-molecular-genetic-pathology-d_3e609fff3036fc52,fellowship,Molecular Genetic Pathology,Molecular Genetic Pathology Fellowship,1904121001,Molecular genetic pathology (multidisciplinary),accepted_identifier_with_default_or_unknown_lifecycle,https://pathology.med.upenn.edu/education/fellowships/programs/molecular-genetic-pathology-fellowship,200,Molecular Genetic Pathology Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,1,duration of the fellowship is one year,in Pennsylvania. Prior experience in genetics and/or molecular biology is recommended. Application Process for 2027-2028 Fellowship Available Positions : Up to three MGP fellowship positions are available each year. The duration of the fellowship is one year. Timeline : The program at the Hospital of the University of Pennsylvania is planning to participate in the Match for the 2027-2028 Fellowship. An FAQ document on the Match process for applicants is available from the Association of Molecular Pathology . The,reviewer_ready_duration_lifecycle_candidate,review_duration_evidence_then_add_specific_lifecycle_rule_if_program_scope_matches,0.78,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present"", ""single_explicit_duration_value"", ""official_page_context_confirmed""]","{""all_duration_mentions"": [{""context"": ""of Pennsylvania is to train fellows in the practice of molecular genetic pathology, the application and interpretation of molecular laboratory techniques, and diagnostic laboratory administration. Over the course of the one-year ACGME-accredited fellowship, the fellow gains experience in the application of molecular genetic pathology through service work, didactic lectures, resident teaching, involvement in laboratory administration, and hands-on test development and/or research projects through rotations at th"", ""negative_context"": true, ""phrase"": ""one-year ACGME-accredited fellowship"", ""positive_context"": true, ""years"": 1}, {""context"": ""gy Esther Baranov, MD Microbiology Kyle Rodino, PhD Laurel Glaser, MD, PhD CHOP Jill Murrell, PhD Minjie Luo, PhD Program Requirements Prior to the start of the program, fellows must have successfully completed at least two years of pathology residency or successfully complete a residency in medical genetics and genomics or be a physician certified by the American Board of Medical Genetics and Genomics (ABMGG). Fellows must also be licensed or eligible for licensure in Pennsylvania."", ""negative_context"": true, ""phrase"": ""two year"", ""positive_context"": true, ""years"": 2}, {""context"": ""in Pennsylvania. Prior experience in genetics and/or molecular biology is recommended. Application Process for 2027-2028 Fellowship Available Positions : Up to three MGP fellowship positions are available each year. The duration of the fellowship is one year. Timeline : The program at the Hospital of the University of Pennsylvania is planning to participate in the Match for the 2027-2028 Fellowship. An FAQ document on the Match process for applicants is available from the Association of Molecular Pathology . The"", ""negative_context"": false, ""phrase"": ""duration of the fellowship is one year"", ""positive_context"": true, ""years"": 1}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1904121001"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 3, ""effective_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/molecular-genetic-pathology-fellowship"", ""page_text_sha256"": ""97f7b063be5d11a0db6a76b651beb5617ae7edbf40818b590e04a9818f0f332f"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_290e51a8c7eb33cc,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_69a2d17b7e0e9652,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-n_000fcbdda6697fcd,hup_gme_fellowship_neuropathology_91745daad371,program_fellow-neuropathology-fellowship_ec7fcc61ccbc,official_program_identifier_hup-gme-fellowship-neuropathology-91745daad371-a_0066872229ab07a0,fellowship,Neuropathology,Neuropathology Fellowship,3154121041,Neuropathology,accepted_identifier_with_default_or_unknown_lifecycle,https://pathology.med.upenn.edu/education/fellowships/programs/neuropathology-fellowship,200,Neuropathology Fellowship | University of Pennsylvania | Pathology and Laboratory Medicine,2,two-year,"/Hepatic Pathology Hematopathology Molecular Genetic Pathology Neuropathology Soft Tissue/Bone Pathology Surgical Pathology Transfusion Medicine Student Fellowship Fellows Neuropathology Fellowship Fellowship Overview A two-year ACGME –accredited clinical training program is offered to qualified candidates. Fellows are responsible for approximately 220 brain autopsies and over 1,100 surgical cases, nerve, and muscle biopsies and consults. Rotations at the Children’s Hospital of Phila",reviewer_ready_duration_lifecycle_candidate,review_duration_evidence_then_add_specific_lifecycle_rule_if_program_scope_matches,0.78,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present"", ""single_explicit_duration_value"", ""official_page_context_confirmed""]","{""all_duration_mentions"": [{""context"": ""/Hepatic Pathology Hematopathology Molecular Genetic Pathology Neuropathology Soft Tissue/Bone Pathology Surgical Pathology Transfusion Medicine Student Fellowship Fellows Neuropathology Fellowship Fellowship Overview A two-year ACGME \u2013accredited clinical training program is offered to qualified candidates. Fellows are responsible for approximately 220 brain autopsies and over 1,100 surgical cases, nerve, and muscle biopsies and consults. Rotations at the Children\u2019s Hospital of Phila"", ""negative_context"": false, ""phrase"": ""two-year"", ""positive_context"": true, ""years"": 2}, {""context"": ""fied trainees interested in pursuing a research-intensive career. The program has an 100% success rate for its AP/NP residents who have applied for K08 career development award from the NIH. Requirements MD degree and a 2-year background in Anatomic Pathology (as part of the AP/NP program) or completion of AP or AP/CP residency. The candidate must be able to obtain a Pennsylvania Medical License. Faculty Mentorship is provided by 10 highly experienced diagnostic neuropathologists,"", ""negative_context"": true, ""phrase"": ""2-year"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3154121041"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 2, ""effective_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/neuropathology-fellowship"", ""page_text_sha256"": ""1e10dcf7c708704c40911c8f1980dd0134406c731b610361f8c57329f61cf5f0"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_475a3053bda5706e,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_d6da2b70875224dc,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-t_e671ba4810306574,hup_gme_fellowship_trauma-and-surgical-critical-care_5fa0f17c1f74,program_fellow-trauma-surgical-critical-care-fellowship_2ea6df827f98,official_program_identifier_hup-gme-fellowship-trauma-and-surgical-critical-_202b15d42d3028fe,fellowship,Trauma and Surgical Critical Care,Trauma and Surgical Critical Care Fellowship,4424121056,Surgical critical care,accepted_identifier_with_default_or_unknown_lifecycle,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/trauma-and-surgical-critical-care-fellowship,200,Trauma and Surgical Critical Care Fellowship - Penn Medicine,1,one-year,"s game, delivering top notch care, and also maximizing educational assimilation. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgi",conflicting_duration_evidence_review,review_context_before_proposing_lifecycle_rule_change,0.46,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present"", ""multiple_duration_values_found"", ""manual_duration_review_required""]","{""all_duration_mentions"": [{""context"": ""s game, delivering top notch care, and also maximizing educational assimilation. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgi"", ""negative_context"": false, ""phrase"": ""one-year"", ""positive_context"": true, ""years"": 1}, {""context"": "", and also maximizing educational assimilation. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgical Critical Care - SCC Emergency"", ""negative_context"": false, ""phrase"": ""two-year"", ""positive_context"": true, ""years"": 2}, {""context"": ""n. Performance improvement processes, research, and leadership training round out our fellowship experience. We have several tracks including one-year Surgical Critical Care, two-year Acute Care Surgery, and a dedicated two-year Emergency Medicine/Surgical Critical Care track. Niels D. Martin, MD Program Director, Trauma and Surgical Critical Care Fellowship Professor of Surgery Follow us on Twitter Surgical Critical Care - SCC Emergency Surgery - ESS INTRANET The University of Pen"", ""negative_context"": false, ""phrase"": ""two-year"", ""positive_context"": true, ""years"": 2}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4424121056"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 3, ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/fellowships/trauma-and-surgical-critical-care-fellowship"", ""page_text_sha256"": ""8d3171a3def98f80739231d74c732d5ff5e782fd18122d4d2ea24441ad89986b"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_cdc6e6f356b8dabf,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_7f5249ad527b080c,program_lifecycle_consistency_official-program-identifier-hup-gme-fellowship-u_16f51e6359bbcfdc,hup_gme_fellowship_urogynecology-and-reconstructive-pelvic-surgery_cd33cc4131ec,program_fellow-urogynecology-reconstructive-pelvic-surge_2d3c63a10e6b,official_program_identifier_hup-gme-fellowship-urogynecology-and-reconstruct_589a57aa36a19c3e,fellowship,Urogynecology and Reconstructive Pelvic Surgery,Urogynecology and Reconstructive Pelvic Surgery Fellowship,2214122002,Urogynecology and Reconstructive Pelvic Surgery (OBGYN),accepted_identifier_with_default_or_unknown_lifecycle,https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/urogynecology,200,Urogynecology - Penn Medicine,3,three year,"Medicine and Reconstructive Surgery at Penn (FPM/RS) fellowship program is to provide high quality comprehensive education in urogynecology and pelvic floor disorders for obstetrician-gynecologists and urologists. This three year (two year for urology trained candidates) ACGME approved program will provide clinical, surgical and research training in the field of FPM/RS. The Division of Urogynecology and Pelvic Reconstructive Surgery serves as a major referral center for the diagnosis",conflicting_duration_evidence_review,review_context_before_proposing_lifecycle_rule_change,0.46,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present"", ""multiple_duration_values_found"", ""manual_duration_review_required""]","{""all_duration_mentions"": [{""context"": ""Medicine and Reconstructive Surgery at Penn (FPM/RS) fellowship program is to provide high quality comprehensive education in urogynecology and pelvic floor disorders for obstetrician-gynecologists and urologists. This three year (two year for urology trained candidates) ACGME approved program will provide clinical, surgical and research training in the field of FPM/RS. The Division of Urogynecology and Pelvic Reconstructive Surgery serves as a major referral center for the diagnosis"", ""negative_context"": false, ""phrase"": ""three year"", ""positive_context"": true, ""years"": 3}, {""context"": ""d Reconstructive Surgery at Penn (FPM/RS) fellowship program is to provide high quality comprehensive education in urogynecology and pelvic floor disorders for obstetrician-gynecologists and urologists. This three year (two year for urology trained candidates) ACGME approved program will provide clinical, surgical and research training in the field of FPM/RS. The Division of Urogynecology and Pelvic Reconstructive Surgery serves as a major referral center for the diagnosis and treatm"", ""negative_context"": false, ""phrase"": ""two year"", ""positive_context"": true, ""years"": 2}, {""context"": "", cystoscopy, anal physiological testing, and endoanal ultrasound. Research The division has well-equipped clinical and translational research facilities. Twelve months of dedicated research time is distributed over the three-year period. We anticipate that all fellows will complete peer projects leading to presentations at national meetings and publications by the third year. Education The Division of Urogynecology and Pelvic Reconstructive Surgery maintains an active teaching schedul"", ""negative_context"": false, ""phrase"": ""three-year"", ""positive_context"": false, ""years"": 3}], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=2214122002"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 3, ""effective_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/urogynecology"", ""page_text_sha256"": ""1685e2c32d2d759d67be6e65b7603143ab4ad7994c6d0af6ae087ae0580de568"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
program_lifecycle_duration_evidence_program-lifecycle-consistency-official-program-i_8eed7bfa06907b2b,program_lifecycle_duration_observation_program-lifecycle-consistency-official-program-i_90ec95310831ec1a,program_lifecycle_consistency_official-program-identifier-hup-gme-residency-pa_383bf4403e9edc24,hup_gme_residency_pathology-anatomic-and-clinical_611fe58e800d,program_resident-pathology-anatomic-clinical-residency_996fb908ba57,official_program_identifier_hup-gme-residency-pathology-anatomic-and-clinica_d4ba3cc7d2336613,residency,Pathology - Anatomic and Clinical,Pathology - Anatomic and Clinical Residency,3004121314,Pathology-anatomic and clinical,accepted_identifier_with_default_or_unknown_lifecycle,https://pathology.med.upenn.edu/education/residency/overview,200,Pathology Residency Program Overview | University of Pennsylvania | Pathology and Laboratory Medicine,,,,no_explicit_duration_evidence_found,keep_default_lifecycle_rule_until_explicit_duration_source_is_found,0.28,"[""official_program_name_supported_by_page_text"", ""acgme_specialty_supported_by_page_text"", ""penn_context_present""]","{""all_duration_mentions"": [], ""identifier_source_url"": ""https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3004121314"", ""policy"": ""Duration evidence is a review candidate only; lifecycle rules and person states are not mutated by this audit."", ""source_observation"": {""duration_phrase_count"": 0, ""effective_url"": ""https://pathology.med.upenn.edu/education/residency/overview"", ""page_text_sha256"": ""de05037b91afd8b4425644d79131ce0bd27df09d812910792f04fe59a5ccb85a"", ""source_status"": ""ok""}}",2026-06-02T17:51:43.570877+00:00
