target_rank,school_name,school_key,target_basis,brimr_2024_total_funding,award_rows,city,state_or_country,institution_type,gbrain_readiness_status,school_expansion_status,target_source_url,source_workbook,generated_at
33,UNIVERSITY OF UTAH SCH OF MEDICINE,brimr_2024_school_033,BRIMR 2024 NIH funding - Schools of Medicine,204296142.0,453,SALT LAKE CITY,UTAH,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
34,ALBERT EINSTEIN COLLEGE OF MEDICINE,brimr_2024_school_034,BRIMR 2024 NIH funding - Schools of Medicine,191779929.0,321,BRONX,NEW YORK,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
35,UNIVERSITY OF MASSACHUSETTS MEDICAL SCH,brimr_2024_school_035,BRIMR 2024 NIH funding - Schools of Medicine,191053492.0,361,WORCESTER,MASSACHUSETTS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
36,OHIO STATE UNIVERSITY COL OF MEDICINE,brimr_2024_school_036,BRIMR 2024 NIH funding - Schools of Medicine,185198022.0,375,COLUMBUS,OHIO,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
37,UNIV OF CALIFORNIA IRVINE CAL COL OF MED,brimr_2024_school_037,BRIMR 2024 NIH funding - Schools of Medicine,177486613.0,278,IRVINE,CALIFORNIA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
38,UNIVERSITY OF VIRGINIA SCH OF MEDICINE,brimr_2024_school_038,BRIMR 2024 NIH funding - Schools of Medicine,168870875.0,375,CHARLOTTESVILLE,VIRGINIA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
39,UNIVERSITY OF MARYLAND SCH OF MEDICINE,brimr_2024_school_039,BRIMR 2024 NIH funding - Schools of Medicine,167849423.0,366,BALTIMORE,MARYLAND,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
40,UNIVERSITY OF FLORIDA COL OF MEDICINE,brimr_2024_school_040,BRIMR 2024 NIH funding - Schools of Medicine,166242027.0,342,GAINESVILLE,FLORIDA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
41,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,brimr_2024_school_041,BRIMR 2024 NIH funding - Schools of Medicine,165189619.0,285,CORAL GABLES,FLORIDA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
42,HARVARD MEDICAL SCHOOL,brimr_2024_school_042,BRIMR 2024 NIH funding - Schools of Medicine,161810585.0,296,BOSTON,MASSACHUSETTS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
43,UNIV OF ROCHESTER SCH MED & DENT,brimr_2024_school_043,BRIMR 2024 NIH funding - Schools of Medicine,157106312.0,336,ROCHESTER,NEW YORK,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
44,BOSTON UNIVERSITY SCHOOL OF MEDICINE,brimr_2024_school_044,BRIMR 2024 NIH funding - Schools of Medicine,139814844.0,187,BOSTON,MASSACHUSETTS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
45,UNIVERSITY OF IOWA COLLEGE OF MEDICINE,brimr_2024_school_045,BRIMR 2024 NIH funding - Schools of Medicine,139389020.0,293,IOWA CITY,IOWA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
46,WAKE FOREST UNIVERSITY SCH OF MEDICINE,brimr_2024_school_046,BRIMR 2024 NIH funding - Schools of Medicine,135493989.0,251,WINSTON-SALEM,NORTH CAROLINA,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
47,UNIVERSITY OF ILLINOIS COL OF MEDICINE,brimr_2024_school_047,BRIMR 2024 NIH funding - Schools of Medicine,125948347.0,277,CHICAGO,ILLINOIS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
48,U OF TX HLTH SCI CTR SAN ANTONIO MED SCH,brimr_2024_school_048,BRIMR 2024 NIH funding - Schools of Medicine,125408579.0,235,SAN ANTONIO,TEXAS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
49,U OF TEXAS HLTH SCI CTR HOUSTON MED SCH,brimr_2024_school_049,BRIMR 2024 NIH funding - Schools of Medicine,122058619.0,266,HOUSTON,TEXAS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
50,UNIV OF TX MED BR/MED SCH AT GALVESTON,brimr_2024_school_050,BRIMR 2024 NIH funding - Schools of Medicine,119218642.0,125,GALVESTON,TEXAS,SCHOOLS OF MEDICINE,not_submitted,not_started,https://brimr.org/brimr-rankings-of-nih-funding-in-2024/,artifacts/data/raw/brimr/MedicalSchoolsOnly_2024_C.xlsx,2026-06-08T02:57:44.959385+00:00
