career_event_id,person_key,display_name,event_type,role_title,organization_name,department,program_context,event_year,source_key,source_url,confidence,status,match_features_json
94,,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,prior_training_history_candidate,,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,0.52,candidate,"[""official_penn_profile"", ""profile_name_match"", ""training_language""]"
95,,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,prior_training_history_candidate,,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,2020,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,0.52,candidate,"[""official_penn_profile"", ""profile_name_match"", ""training_language""]"
86,,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,education_history_candidate,,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,2002,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,0.5,candidate,"[""official_penn_profile"", ""profile_name_match"", ""education_language""]"
91,,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,education_history_candidate,,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,0.5,candidate,"[""official_penn_profile"", ""profile_name_match"", ""education_language""]"
90,,"Emily Gordon, MD, MSEd",attending_profile_training_history_candidate,personal_profile_candidate,,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_6a96048fe1,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/emily-gordon,0.45,candidate,"[""official_penn_profile"", ""profile_name_match"", ""personal_profile_language""]"
96,,Jesse Kiefer MD MSEd,attending_profile_training_history_candidate,personal_profile_candidate,,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,penn_attending_profile_departments_and_centers_anesthesiology_and_critical_care_education_a_8145060fbb,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership/kiefer-jesse,0.45,candidate,"[""official_penn_profile"", ""profile_name_match"", ""personal_profile_language""]"
42,,"Alana Sagin, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
3,,"Alison Wakoff Loren, MD, MSCE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
22,,"Anar A. Dossumbekova, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
20,,"Andrea J. Apter, MD, MA, MSc",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
44,,"Ann Soliman, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
47,,Barbara A. Carr,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
33,,"Bridget Durkin, MD, MBE",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
4,,"Christine Ciunci, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
16,,"Christopher A. D'Avella, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
10,,"Daniel J. Landsburg, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
17,,"David M. Mintzer, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
