manual_decision_row_key,decision_scaffold_key,review_batch_key,review_queue_lane,program_key,program_name,candidate_fingerprint_sha256,candidate_source_kind,decision_fingerprint,reviewer_action,reviewer_note,confirm_decision_fingerprint,confirm_no_person_ingestion,confirm_no_denominator_closure,confirm_no_raw_name_added,confirm_no_url_rewrite,confirm_candidate_fingerprint_only,confirm_scope_metadata_only,confirm_recourse_only
vanderbilt_candidate_manual_decision_786e533f5a1129b2e8db,vanderbilt_candidate_review_decision_627e70e854c2f0ecfcdb,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,2748313ba886275c8033dc34605ddec4319b0d6e9c79169b3524aa72603cb791,heading_signal,d3d996b02e547b044f892dd71d23aa6b734190e1862141a9c909c43fd2d91286,,,,,,,,,,
vanderbilt_candidate_manual_decision_99a49324e6ddb002948d,vanderbilt_candidate_review_decision_2b55b1645ec7183d843c,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,e3154ca624315c10b3e561e8c49cb42cf06c9073f2127d877d250a6350414812,heading_signal,0fc9d9dbf8a0e1f693bb6cb6971c62878fa28b488a3aecd8b0463f0ffda9504e,,,,,,,,,,
vanderbilt_candidate_manual_decision_c10790d7c74912ac55fe,vanderbilt_candidate_review_decision_ff69dcda955ee1457b6a,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,4d4630d9a6918e4018c24fa54f474a8de97c0cb762904792375f8964902f937a,heading_signal,1cc77c01d26b336470373b96ab53f86e62f8228c852dda7bf203ce05bbcad4e1,,,,,,,,,,
vanderbilt_candidate_manual_decision_cd1f8f0e8ebee89eb5a9,vanderbilt_candidate_review_decision_08fc0751886449b2617a,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,cb0b1a3ab6f7e0c21f5e104f28782c8a147cd0cd7b59ee6429cde2a562388f74,heading_signal,e742e7bb0753c92a3a3a502697656e7356ad1d257a03f09d569f212f67787346,,,,,,,,,,
vanderbilt_candidate_manual_decision_dea0ea21f10ff6a40dfc,vanderbilt_candidate_review_decision_b0d9cbd57617f6e68cb8,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,5b8363d64981b72ff21a2d931503ab5d3225c36efcfab927b11c134f44f571e8,heading_signal,06b69ea82560126af8c4bf0a49946c02a261afd96626f44fedd6c653f1b664c7,,,,,,,,,,
vanderbilt_candidate_manual_decision_f9824841462cee1cfe36,vanderbilt_candidate_review_decision_1458f4841e7a0406a527,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,098737095dc0da33148fa407601d3490f328aff3ca40b0cbe3590f312dee06c2,heading_signal,e317fd5973a0770d53e2418e3b2ac3d1667b8cec5dfdad178858d8de9708e3c1,,,,,,,,,,
vanderbilt_candidate_manual_decision_ff3981f51e60b20073e5,vanderbilt_candidate_review_decision_796b42c68d6859bd7b7f,vanderbilt_candidate_review_batch_264e38d4cffae937e7ae,candidate_fingerprint_review,vanderbilt_program_fellowship-gastroenterology-https-medicine-vumc-org-division_8a52e2c35fee,Gastroenterology,8fd27599de8b9f2cebc54853fb944b789747b21c433b2ee5fa0c835a11ef5f7e,heading_signal,1f37c30881800f7f9edb5f87571b590a5a963df9d21690263d04c0368ecb4cd7,,,,,,,,,,
vanderbilt_candidate_manual_decision_6f12df3d4fb193d7332d,vanderbilt_candidate_review_decision_3706f85188a91bff475b,vanderbilt_candidate_review_batch_b86583f28973dd00529d,candidate_fingerprint_review,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,71430bcda07eff7be892e99d8504a54f67f212505a12e15562a96a9f83a537df,profile_anchor,ba6d73cb9aa9fe871d69f285679724558bef5747d1dc620cbb885495edab1213,,,,,,,,,,
vanderbilt_candidate_manual_decision_df3d7a97dd81a5e1a202,vanderbilt_candidate_review_decision_5378c476525afb286e47,vanderbilt_candidate_review_batch_b86583f28973dd00529d,candidate_fingerprint_review,vanderbilt_program_residency-general-surgery-https-www-vumc-org-generalsurgeryr_36cdd333340f,General Surgery,a124b8604962e20c0c2831114ad7ae4313fc5a66253a2dc1db1a6f277d1f3844,heading_signal,613dd2e1f6f35c0e146c3a1cba94897643c902a271c9ba2af9876f266bab73ed,,,,,,,,,,
vanderbilt_candidate_manual_decision_0588b8016515e8e9d817,vanderbilt_candidate_review_decision_d3f1a65b621279c624b5,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,a6f76b3a65b9ab625ffa22402ae202837589b8bc27084a9b377f30940d41bcf7,profile_anchor,0966647cc0ce37144ce0ec004f8be71eda704fd11909edac37c379d365b086dd,,,,,,,,,,
