candidate_key,official_program_key,department,program_type,program_name,coverage_status,source_role,candidate_status,priority,confidence,candidate_title,candidate_url,http_status,roster_term_count,context_term_count,reasons,error
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_000f47713e0b,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,"Paul J. L. Zhang, MD",http://pathology.med.upenn.edu/department/people/227/paul-j-l-zhang,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b76887bf240a,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Administration,https://pathology.med.upenn.edu/department/people/administration,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_4d20d680b405,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Faculty,https://pathology.med.upenn.edu/department/people/faculty,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_5208f92388da,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,People,https://pathology.med.upenn.edu/education/fellowships/programs/soft-tissue-bone,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_2545befb4a9a,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Application,https://pathology.med.upenn.edu/education/residency/applicant-information,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_b31786f51d58,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Curriculum,https://pathology.med.upenn.edu/education/residency/curriculum,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_41775908cbd8,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Soft Tissue/Bone Pathology Fellowship Application,https://pathology.med.upenn.edu/sites/default/files/soft_tissue_bone_application_2024-2025_updated.pdf,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_5f33e524ce16,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Soft Tissue/Bone Pathology Fellowship Application,https://pathology.med.upenn.edu/sites/default/files/soft_tissue_bone_application_2025-2025_updated_0.docx,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-plastic-surgery-b33a31a2ab76-_495666660d04,hup_gme_fellowship_plastic-surgery_b33a31a2ab76,Surgery,fellowship,Plastic Surgery,discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Application Process,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/residencies/plastic-surgery/application-process,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-plastic-surgery-b33a31a2ab76-_ad560266f74e,hup_gme_fellowship_plastic-surgery_b33a31a2ab76,Surgery,fellowship,Plastic Surgery,discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Curriculum,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/residencies/plastic-surgery/curriculum,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-fellowship-plastic-surgery-b33a31a2ab76-_b124b1c421c1,hup_gme_fellowship_plastic-surgery_b33a31a2ab76,Surgery,fellowship,Plastic Surgery,discovered_no_current_roster,linked_candidate,program_context_candidate,30,0.3,Didactics,https://www3.pennmedicine.org/departments-and-centers/department-of-surgery/education-and-training/residencies/plastic-surgery/didactics,,0,0,linked_from_gap_page;program_context_language,
program_source_candidate_hup-gme-residency-oral-and-maxillofacial-surgery_440b8b1414b6,hup_gme_residency_oral-and-maxillofacial-surgery_7c60f778bc7c,Oral and Maxillofacial Surgery,residency,Oral and Maxillofacial Surgery,not_discovered,linked_candidate,low_value_candidate,25,0.15,Curriculum,https://www.dental.upenn.edu/admissions-academics/graduate-dental-education-programs/oral-maxillofacial-surgery-residency-m-d/curriculum,,0,0,linked_from_gap_page;program_context_language;non_roster_language,
program_source_candidate_hup-gme-residency-dermatology-cabc25fcd11c-https_2395a9c7d1a3,hup_gme_residency_dermatology_cabc25fcd11c,Dermatology,residency,Dermatology,discovered_no_current_roster,linked_candidate,low_value_candidate,15,0.15,Internal Medicine Graduates,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/application-information/internal-medicine-graduates,,0,0,linked_from_gap_page;program_context_language;non_roster_language,
program_source_candidate_hup-gme-fellowship-soft-tissue-and-bone-selectiv_76d6d98779ec,hup_gme_fellowship_soft-tissue-and-bone-selective_5b6c8e2f798f,Pathology and Laboratory Medicine,fellowship,Soft Tissue/Bone (Selective),discovered_no_current_roster,linked_candidate,low_value_candidate,15,0.15,Recent Graduates,https://pathology.med.upenn.edu/department/people/recent-graduates,,0,0,linked_from_gap_page;program_context_language;non_roster_language,
program_source_candidate_hup-gme-residency-radiology-interventional-indep_e1de267dfda3,hup_gme_residency_radiology-interventional-independent_951079567585,Radiology,residency,"Radiology - Interventional, Independent",discovered_no_current_roster,linked_candidate,low_value_candidate,15,0.15,How To Apply,https://www3.pennmedicine.org/departments-and-centers/department-of-radiology/education-and-training/residency-programs/application-process-and-interviews,,0,0,linked_from_gap_page;program_context_language;non_roster_language,
