rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,stage_state_count,canonical_person_program_count,person_count,program_count,deterministic_advancement_count,deterministic_completion_count,source_refresh_required_count,manual_review_required_count,carry_forward_count,duplicate_contract_count,stale_by_refresh_count,fresh_observation_required_count,auto_classifiable_transition_count,dominant_stage_state_status,dominant_staleness_bucket,dominant_policy_lane,dominant_diff_readiness_status,recommended_operator_action,stale_information_policy,evidence_json
training_stage_state_rollup_d3d14d76fe48a9ec7b93,lifecycle_code,US_GME_ANESTHESIA_CA_PHASE_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_ANESTHESIA_CA_PHASE_3Y,2027-08-15,75,75,75,1,52,23,0,0,0,0,75,75,75,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,reconcile_expected_advancements_and_completion_absences,classify_completion_absence_only_after_fresh_refresh,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 75}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 52, ""deterministic_expected_completion"": 23}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 52, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 23}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 75}}"
training_stage_state_rollup_dfd830f89a3625485365,lifecycle_code,US_GME_FELLOWSHIP_1Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_1Y,2027-08-15,92,92,92,31,0,0,91,1,0,0,92,92,0,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_source_refresh_bound,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_review_bound"": 1, ""diff_source_refresh_bound"": 91}, ""policy_lane_counts"": {""manual_review_required"": 1, ""source_refresh_required"": 91}, ""stage_state_status_counts"": {""manual_review_required_before_any_stage_mutation"": 1, ""must_refresh_source_before_retention_or_change"": 91}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 1, ""stale_by_projected_refresh"": 91}}"
training_stage_state_rollup_16ca20675fb1f2c5cd0a,lifecycle_code,US_GME_FELLOWSHIP_2Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_2Y,2027-08-15,86,84,84,8,28,26,27,5,0,4,86,86,54,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 54, ""diff_review_bound"": 5, ""diff_source_refresh_bound"": 27}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 28, ""deterministic_expected_completion"": 26, ""manual_review_required"": 5, ""source_refresh_required"": 27}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 28, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 26, ""manual_review_required_before_any_stage_mutation"": 5, ""must_refresh_source_before_retention_or_change"": 27}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 5, ""stale_by_projected_refresh"": 81}}"
training_stage_state_rollup_e3565670206eb0831410,lifecycle_code,US_GME_FELLOWSHIP_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_3Y,2027-08-15,124,124,124,5,72,35,10,7,0,0,124,124,107,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 107, ""diff_review_bound"": 7, ""diff_source_refresh_bound"": 10}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 72, ""deterministic_expected_completion"": 35, ""manual_review_required"": 7, ""source_refresh_required"": 10}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 72, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 35, ""manual_review_required_before_any_stage_mutation"": 7, ""must_refresh_source_before_retention_or_change"": 10}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 7, ""stale_by_projected_refresh"": 117}}"
training_stage_state_rollup_a25ce05a8f84b456ec7f,lifecycle_code,US_GME_FELLOWSHIP_DURATION_UNKNOWN,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,76,74,74,22,0,0,64,12,0,4,76,76,0,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_source_refresh_bound,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_review_bound"": 12, ""diff_source_refresh_bound"": 64}, ""policy_lane_counts"": {""manual_review_required"": 12, ""source_refresh_required"": 64}, ""stage_state_status_counts"": {""manual_review_required_before_any_stage_mutation"": 12, ""must_refresh_source_before_retention_or_change"": 64}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 12, ""stale_by_projected_refresh"": 64}}"
training_stage_state_rollup_7cba8faf22f1ba823226,lifecycle_code,US_GME_PRELIMINARY_1Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_PRELIMINARY_1Y,2027-08-15,13,13,13,1,0,13,0,0,0,0,13,13,13,expected_to_complete_if_absent_or_alumni_after_refresh,stale_by_projected_refresh,deterministic_expected_completion,diff_expected_change_classifiable,reconcile_expected_completion_absences,classify_completion_absence_only_after_fresh_refresh,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 13}, ""policy_lane_counts"": {""deterministic_expected_completion"": 13}, ""stage_state_status_counts"": {""expected_to_complete_if_absent_or_alumni_after_refresh"": 13}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 13}}"
training_stage_state_rollup_26d03bb848756c6c0dd7,lifecycle_code,US_GME_RESIDENCY_3Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_3Y,2027-08-15,351,298,240,7,234,107,0,10,0,106,351,351,341,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,resolve_review_bound_states_before_mutating_this_scope,do_not_auto_mutate_review_bound_stage_states,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 341, ""diff_review_bound"": 10}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 234, ""deterministic_expected_completion"": 107, ""manual_review_required"": 10}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 234, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 107, ""manual_review_required_before_any_stage_mutation"": 10}, ""staleness_bucket_counts"": {""review_bound_not_time_classifiable"": 10, ""stale_by_projected_refresh"": 341}}"
training_stage_state_rollup_1e2a9b6997e31dd6fbca,lifecycle_code,US_GME_RESIDENCY_4Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_4Y,2027-08-15,137,122,122,6,107,23,7,0,0,30,137,137,130,expected_to_advance_if_fresh_next_stage_observed,stale_by_projected_refresh,deterministic_expected_advancement,diff_expected_change_classifiable,refresh_sources_before_retaining_or_diffing_this_scope,do_not_carry_forward_stale_stage_states_without_fresh_source,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 130, ""diff_source_refresh_bound"": 7}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 107, ""deterministic_expected_completion"": 23, ""source_refresh_required"": 7}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 107, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 23, ""must_refresh_source_before_retention_or_change"": 7}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 137}}"
training_stage_state_rollup_4ecebffe529607f9c73c,lifecycle_code,US_GME_RESIDENCY_5Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_5Y,2027-08-15,309,309,309,9,123,17,169,0,0,0,309,309,140,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_source_refresh_bound,refresh_sources_before_retaining_or_diffing_this_scope,do_not_carry_forward_stale_stage_states_without_fresh_source,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 140, ""diff_source_refresh_bound"": 169}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 123, ""deterministic_expected_completion"": 17, ""source_refresh_required"": 169}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 123, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 17, ""must_refresh_source_before_retention_or_change"": 169}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 309}}"
training_stage_state_rollup_5bf79c8d839d934167f1,lifecycle_code,US_GME_RESIDENCY_6Y,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,,US_GME_RESIDENCY_6Y,2027-08-15,56,56,56,3,25,5,26,0,0,0,56,56,30,must_refresh_source_before_retention_or_change,stale_by_projected_refresh,source_refresh_required,diff_expected_change_classifiable,refresh_sources_before_retaining_or_diffing_this_scope,do_not_carry_forward_stale_stage_states_without_fresh_source,"{""derived_from"": [""person_training_stage_state""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 30, ""diff_source_refresh_bound"": 26}, ""policy_lane_counts"": {""deterministic_expected_advancement"": 25, ""deterministic_expected_completion"": 5, ""source_refresh_required"": 26}, ""stage_state_status_counts"": {""expected_to_advance_if_fresh_next_stage_observed"": 25, ""expected_to_complete_if_absent_or_alumni_after_refresh"": 5, ""must_refresh_source_before_retention_or_change"": 26}, ""staleness_bucket_counts"": {""stale_by_projected_refresh"": 56}}"
