trainee_category,role,person_count,program_count,state_observation_count,worst_readiness_status,worst_readiness_priority,dominant_program_coverage_status,expected_advancement_window_count,expected_completion_window_count,source_refresh_required_window_count,review_required_window_count,stale_without_transition_review_count,unexpected_absence_review_count,absence_requires_source_reconciliation_count,expected_absence_after_completion_count,recommended_refresh_action
fellow,fellow,385,66,391,review_required_window,100,covered_current_roster,100,61,192,13,12,113,217,61,review_lifecycle_or_source_before_mutation
resident,resident,873,28,1014,review_required_window,100,covered_current_roster,559,191,210,10,44,559,264,191,review_lifecycle_or_source_before_mutation
medical_student,medical_student,225,1,225,source_refresh_required_window,85,not_in_official_hup_audit,0,0,225,0,0,0,225,0,refresh_source_before_retaining_state
