program_name,role,person_count,avg_coverage_score,broad_enrichment_surface_count,moderate_enrichment_surface_count,thin_enrichment_surface_count,profile_coverage_rate,contact_coverage_rate,medical_school_coverage_rate,residency_coverage_rate,article_candidate_coverage_rate,npi_candidate_coverage_rate,npi_needs_review_coverage_rate,cleaned_org_review_count,reconciliation_queue_count,top_recommended_next_action
Pathology - Anatomic and Clinical Residency,resident,44,50.91,0,35,9,1.0,0.0,0.864,0.0,0.0,0.886,0.864,14,102,reconcile_high_priority_evidence
Internal Medicine Residency - Medical Education Leadership Track,resident,9,52.33,0,6,3,0.667,0.0,0.556,0.0,0.111,1.0,1.0,3,50,organization_alias_review
Podiatric Surgery Residency,resident,16,52.69,0,16,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17,16,official_profile_search
Reproductive Endocrinology and Infertility Fellowship,fellow,6,53.5,0,5,1,0.0,0.0,1.0,1.0,0.0,0.667,0.333,6,6,official_profile_search
Ophthalmology Fellowship,fellow,10,54.1,0,8,2,0.0,0.0,0.0,1.0,0.8,0.7,0.1,9,72,official_profile_search
Vascular Surgery Fellowship,fellow,4,54.25,0,2,2,0.75,0.0,0.5,0.5,0.0,0.25,0.25,2,10,official_profile_search
Combined Internal Medicine-Dermatology Residency,resident,5,56.4,0,5,0,0.2,0.0,1.0,0.0,0.2,0.6,0.6,2,15,official_profile_search
Internal Medicine Residency - Global Health Equities Track,resident,20,57.15,0,16,4,0.3,0.0,0.95,0.0,0.4,0.7,0.55,13,119,review_training_state_machine
Ophthalmology Residency,resident,20,57.95,0,18,2,0.0,0.0,1.0,0.0,0.45,0.7,0.65,5,89,official_profile_search
Neurology Residency,resident,54,58.52,0,54,0,1.0,0.0,1.0,0.0,0.0,0.796,0.796,18,108,reconcile_high_priority_evidence
Internal Medicine Primary Care Residency,resident,21,58.76,1,18,2,0.333,0.0,1.0,0.0,0.19,0.905,0.81,8,104,official_profile_search
Anesthesiology Residency,resident,97,59.65,4,93,0,0.32,0.0,1.0,0.0,0.237,0.887,0.876,28,349,official_profile_search
Cardiothoracic Transplantation Surgery Fellowship,fellow,1,60.0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,3,source_residency_background
Advanced Noninvasive Cardiac Imaging Fellowship,fellow,2,61.0,0,2,0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,4,3,official_profile_search
Cardio-Oncology Fellowship,fellow,2,61.0,0,2,0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,3,3,official_profile_search
Geriatric Medicine Fellowship,fellow,3,61.0,0,3,0,0.0,0.0,1.0,1.0,0.0,0.667,0.333,4,7,official_profile_search
